n,t,depth
1000,100000,10.9951
6000,600000,14.5584
11000,1000000,15.5829
16000,1000000,15.5927
21000,1000000,15.6010
26000,1000000,15.6098
31000,1000000,15.6158
36000,1000000,15.6249
41000,1000000,15.6313
46000,1000000,15.6447
51000,1000000,15.6431
56000,1000000,15.6549
61000,1000000,15.6585
66000,1000000,15.6705
71000,1000000,15.6730
76000,1000000,15.6753
81000,1000000,15.6732
86000,1000000,15.6869
91000,1000000,15.6937
96000,1000000,15.6931
101000,1000000,15.7023
106000,1000000,15.7091
111000,1000000,15.7232
116000,1000000,15.7184
121000,1000000,15.7270
126000,1000000,15.7458
131000,1000000,15.7527
136000,1000000,15.7484
141000,1000000,15.7608
146000,1000000,15.7665
151000,1000000,15.7529
156000,1000000,15.7713
161000,1000000,15.7693
166000,1000000,15.7784
171000,1000000,15.7982
176000,1000000,15.7793
181000,1000000,15.7916
186000,1000000,15.7969
191000,1000000,15.8024
196000,1000000,15.8270
201000,1000000,15.8220
206000,1000000,15.8209
211000,1000000,15.8298
216000,1000000,15.8291
221000,1000000,15.8459
226000,1000000,15.8375
231000,1000000,15.8491
236000,1000000,15.8505
241000,1000000,15.8664
246000,1000000,15.8548
251000,1000000,15.8799
256000,1000000,15.8698
261000,1000000,15.8993
266000,1000000,15.8993
271000,1000000,15.8942
276000,1000000,15.9116
281000,1000000,15.9028
286000,1000000,15.9021
291000,1000000,15.9235
296000,1000000,15.9032
301000,1000000,15.9347
306000,1000000,15.9405
311000,1000000,15.9393
316000,1000000,15.9379
321000,1000000,15.9477
326000,1000000,15.9227
331000,1000000,15.9437
336000,1000000,15.9685
341000,1000000,15.9485
346000,1000000,15.9602
351000,1000000,15.9648
356000,1000000,15.9917
361000,1000000,15.9992
366000,1000000,15.9757
371000,1000000,16.0173
376000,1000000,16.0089
381000,1000000,16.0010
386000,1000000,15.9930
391000,1000000,16.0136
396000,1000000,16.0420
401000,1000000,16.0197
406000,1000000,16.0039
411000,1000000,16.0242
416000,1000000,16.0538
421000,1000000,16.0498
426000,1000000,16.0504
431000,1000000,16.0527
436000,1000000,16.0889
441000,1000000,16.0923
446000,1000000,16.1381
451000,1000000,16.0311
456000,1000000,16.0645
461000,1000000,16.0895
466000,1000000,16.1250
471000,1000000,16.1159
476000,1000000,16.0946
481000,1000000,16.1460
486000,1000000,16.1317
491000,1000000,16.1159
496000,1000000,16.1100
501000,1000000,16.0869
506000,1000000,16.1204
511000,1000000,16.1767
516000,1000000,16.1741
521000,1000000,16.1528
526000,1000000,16.2021
531000,1000000,16.1841
536000,1000000,16.1366
541000,1000000,16.1846
546000,1000000,16.1894
551000,1000000,16.1704
556000,1000000,16.1601
561000,1000000,16.1589
566000,1000000,16.2242
571000,1000000,16.1769
576000,1000000,16.2033
581000,1000000,16.2017
586000,1000000,16.2225
591000,1000000,16.2606
596000,1000000,16.2350
601000,1000000,16.1914
606000,1000000,16.2637
611000,1000000,16.2647
616000,1000000,16.2734
621000,1000000,16.2487
626000,1000000,16.2692
631000,1000000,16.2713
636000,1000000,16.2734
641000,1000000,16.2685
646000,1000000,16.2785
651000,1000000,16.3117
656000,1000000,16.2931
661000,1000000,16.2936
666000,1000000,16.2860
671000,1000000,16.3007
676000,1000000,16.3803
681000,1000000,16.3014
686000,1000000,16.3042
691000,1000000,16.3035
696000,1000000,16.3503
701000,1000000,16.3286
706000,1000000,16.4164
711000,1000000,16.3516
716000,1000000,16.3384
721000,1000000,16.3381
726000,1000000,16.3437
731000,1000000,16.3511
736000,1000000,16.3932
741000,1000000,16.4108
746000,1000000,16.3766
751000,1000000,16.4518
756000,1000000,16.4012
761000,1000000,16.3281
766000,1000000,16.4185
771000,1000000,16.4582
776000,1000000,16.3470
781000,1000000,16.4214
786000,1000000,16.4401
791000,1000000,16.5045
796000,1000000,16.4083
801000,1000000,16.4108
806000,1000000,16.4216
811000,1000000,16.3372
816000,1000000,16.4583
821000,1000000,16.4623
826000,1000000,16.5058
831000,1000000,16.4317
836000,1000000,16.5427
841000,1000000,16.4810
846000,1000000,16.5383
851000,1000000,16.5307
856000,1000000,16.5326
861000,1000000,16.6148
866000,1000000,16.5186
871000,1000000,16.4969
876000,1000000,16.5856
881000,1000000,16.5476
886000,1000000,16.4535
891000,1000000,16.5564
896000,1000000,16.5682
901000,1000000,16.5806
906000,1000000,16.5903
911000,1000000,16.5816
916000,1000000,16.5313
921000,1000000,16.5329
926000,1000000,16.5288
931000,1000000,16.5997
936000,1000000,16.5876
941000,1000000,16.5884
946000,1000000,16.5724
951000,1000000,16.6376
956000,1000000,16.6568
961000,1000000,16.5218
966000,1000000,16.6132
971000,1000000,16.6966
976000,1000000,16.6422
981000,1000000,16.6676
986000,1000000,16.5796
991000,1000000,16.6715
996000,1000000,16.6273
