n,t,depth
1000,10000,2.4561
6000,10000,2.4854
11000,10000,2.4825
16000,10000,2.4461
21000,10000,2.5627
26000,10000,2.6679
31000,10000,2.4418
36000,10000,2.7459
41000,10000,2.5831
46000,10000,2.8169
51000,10000,2.6546
56000,10000,2.4887
61000,10000,2.7439
66000,10000,2.9611
71000,10000,2.7558
76000,10000,2.9672
81000,10000,3.0031
86000,10000,3.1672
91000,10000,2.9554
96000,10000,2.8368
101000,10000,2.4616
106000,10000,2.9538
111000,10000,2.9696
116000,10000,2.5306
121000,10000,2.5501
126000,10000,2.4513
131000,10000,3.3053
136000,10000,3.8111
141000,10000,2.9286
146000,10000,2.9687
151000,10000,3.5895
156000,10000,3.0331
161000,10000,2.9028
166000,10000,3.1624
171000,10000,3.2563
176000,10000,3.3369
181000,10000,2.4582
186000,10000,3.5981
191000,10000,3.2518
196000,10000,2.9823
201000,10000,2.7176
206000,10000,3.6668
211000,10000,3.1898
216000,10000,4.5088
221000,10000,3.6505
226000,10000,3.1429
231000,10000,4.1122
236000,10000,3.8426
241000,10000,4.2886
246000,10000,3.9243
251000,10000,2.7377
256000,10000,2.8345
261000,10000,4.3565
266000,10000,4.3813
271000,10000,5.6014
276000,10000,4.3324
281000,10000,3.3768
286000,10000,4.6430
291000,10000,4.5213
296000,10000,3.4433
301000,10000,3.7530
306000,10000,2.6850
311000,10000,3.6885
316000,10000,5.1879
321000,10000,2.4799
326000,10000,5.3476
331000,10000,3.4430
336000,10000,2.4939
341000,10000,5.1415
346000,10000,3.2014
351000,10000,2.4589
356000,10000,4.7603
361000,10000,5.1346
366000,10000,3.7066
371000,10000,5.8641
376000,10000,4.7164
381000,10000,3.3950
386000,10000,5.4023
391000,10000,4.8746
396000,10000,2.4530
401000,10000,2.4273
406000,10000,4.8818
411000,10000,3.9626
416000,10000,4.1871
421000,10000,5.1657
426000,10000,4.5736
431000,10000,4.0277
436000,10000,4.3888
441000,10000,5.9136
446000,10000,3.2275
451000,10000,5.0760
456000,10000,8.5560
461000,10000,4.1563
466000,10000,4.0253
471000,10000,4.6407
476000,10000,3.4587
481000,10000,5.8096
486000,10000,6.0509
491000,10000,3.3746
496000,10000,5.5467
501000,10000,2.4768
506000,10000,4.6054
511000,10000,4.4884
516000,10000,7.4948
521000,10000,4.1161
526000,10000,4.1806
531000,10000,4.3598
536000,10000,2.4608
541000,10000,2.4532
546000,10000,2.4817
551000,10000,3.1217
556000,10000,5.4453
561000,10000,4.7543
566000,10000,7.7612
571000,10000,9.9145
576000,10000,4.7986
581000,10000,4.1613
586000,10000,4.0478
591000,10000,6.5930
596000,10000,4.8562
601000,10000,4.6340
606000,10000,4.1317
611000,10000,7.5006
616000,10000,7.5806
621000,10000,6.9110
626000,10000,6.9621
631000,10000,6.8653
636000,10000,5.3106
641000,10000,6.9080
646000,10000,3.2944
651000,10000,8.3341
656000,10000,2.4594
661000,10000,4.5024
666000,10000,4.3720
671000,10000,4.2162
676000,10000,5.4791
681000,10000,7.0683
686000,10000,4.0814
691000,10000,8.2361
696000,10000,2.4695
701000,10000,7.0058
706000,10000,3.1328
711000,10000,8.1802
716000,10000,8.5208
721000,10000,5.0667
726000,10000,5.9653
731000,10000,7.7387
736000,10000,4.3624
741000,10000,7.5268
746000,10000,5.8820
751000,10000,9.2044
756000,10000,6.8496
761000,10000,5.4923
766000,10000,4.2003
771000,10000,3.5129
776000,10000,2.4494
781000,10000,5.6187
786000,10000,8.2993
791000,10000,5.5554
796000,10000,3.5689
801000,10000,7.2229
806000,10000,7.9829
811000,10000,8.6451
816000,10000,6.5552
821000,10000,7.1591
826000,10000,4.0730
831000,10000,7.9661
836000,10000,5.4112
841000,10000,6.4901
846000,10000,10.5503
851000,10000,7.4366
856000,10000,3.3121
861000,10000,3.3012
866000,10000,4.7220
871000,10000,12.7816
876000,10000,11.2325
881000,10000,6.6508
886000,10000,9.1040
891000,10000,9.0890
896000,10000,3.1785
901000,10000,4.8440
906000,10000,8.3945
911000,10000,7.0643
916000,10000,7.0612
921000,10000,2.4506
926000,10000,4.3676
931000,10000,14.1689
936000,10000,5.6713
941000,10000,5.5115
946000,10000,5.7929
951000,10000,6.8411
956000,10000,7.1121
961000,10000,4.2042
966000,10000,14.0322
971000,10000,4.8930
976000,10000,2.9236
981000,10000,9.7415
986000,10000,6.2871
991000,10000,8.1625
996000,10000,16.2640
