n,t,depth
1000,100000,10.9951
6000,100000,11.0122
11000,100000,11.0728
16000,100000,11.1192
21000,100000,11.1495
26000,100000,11.2048
31000,100000,11.2301
36000,100000,11.2676
41000,100000,11.3254
46000,100000,11.3496
51000,100000,11.3604
56000,100000,11.3635
61000,100000,11.3801
66000,100000,11.4773
71000,100000,11.4802
76000,100000,11.4846
81000,100000,11.5049
86000,100000,11.6076
91000,100000,11.5599
96000,100000,11.6539
101000,100000,11.7928
106000,100000,11.7694
111000,100000,11.7770
116000,100000,11.7511
121000,100000,11.8139
126000,100000,11.7877
131000,100000,12.0438
136000,100000,12.0175
141000,100000,11.8466
146000,100000,11.8730
151000,100000,11.9898
156000,100000,12.0109
161000,100000,12.0407
166000,100000,12.0397
171000,100000,12.1519
176000,100000,12.0753
181000,100000,12.2009
186000,100000,12.1784
191000,100000,12.2518
196000,100000,12.2658
201000,100000,12.4407
206000,100000,12.2979
211000,100000,12.2232
216000,100000,12.5214
221000,100000,12.6296
226000,100000,12.2253
231000,100000,12.4818
236000,100000,12.5013
241000,100000,12.6555
246000,100000,12.5312
251000,100000,12.6599
256000,100000,12.5193
261000,100000,12.5088
266000,100000,12.6998
271000,100000,12.5873
276000,100000,12.7062
281000,100000,12.5526
286000,100000,12.8896
291000,100000,12.7280
296000,100000,13.1757
301000,100000,12.8741
306000,100000,13.2457
311000,100000,13.1700
316000,100000,13.0100
321000,100000,13.2738
326000,100000,13.1011
331000,100000,13.1439
336000,100000,12.8266
341000,100000,13.1886
346000,100000,13.5952
351000,100000,13.0570
356000,100000,13.6056
361000,100000,13.6163
366000,100000,13.4764
371000,100000,13.2688
376000,100000,13.3861
381000,100000,13.5279
386000,100000,13.3618
391000,100000,13.7083
396000,100000,13.8453
401000,100000,13.2407
406000,100000,13.5379
411000,100000,13.3622
416000,100000,13.6024
421000,100000,13.6939
426000,100000,13.3257
431000,100000,13.6574
436000,100000,13.5603
441000,100000,14.1240
446000,100000,14.0589
451000,100000,14.1078
456000,100000,13.7447
461000,100000,13.9116
466000,100000,14.0207
471000,100000,14.0881
476000,100000,14.0986
481000,100000,14.0869
486000,100000,14.2624
491000,100000,14.2918
496000,100000,14.3533
501000,100000,13.9108
506000,100000,14.0895
511000,100000,14.6722
516000,100000,14.1157
521000,100000,14.3871
526000,100000,14.4680
531000,100000,14.6176
536000,100000,14.3022
541000,100000,14.2288
546000,100000,14.8369
551000,100000,14.9043
556000,100000,14.3571
561000,100000,14.5451
566000,100000,14.2995
571000,100000,14.8417
576000,100000,14.8568
581000,100000,14.6545
586000,100000,14.6702
591000,100000,14.6561
596000,100000,14.9739
601000,100000,14.6616
606000,100000,14.8713
611000,100000,14.7995
616000,100000,14.5990
621000,100000,14.9525
626000,100000,14.7823
631000,100000,14.5264
636000,100000,14.7853
641000,100000,14.9577
646000,100000,15.4844
651000,100000,14.9325
656000,100000,15.2711
661000,100000,15.2107
666000,100000,15.2821
671000,100000,14.9215
676000,100000,15.6732
681000,100000,15.4779
686000,100000,15.1460
691000,100000,15.2507
696000,100000,15.7794
701000,100000,15.7246
706000,100000,15.2271
711000,100000,15.3002
716000,100000,15.5197
721000,100000,15.6277
726000,100000,15.9704
731000,100000,15.6821
736000,100000,15.9587
741000,100000,16.0631
746000,100000,15.8725
751000,100000,16.3076
756000,100000,16.4929
761000,100000,15.7721
766000,100000,15.9103
771000,100000,15.6851
776000,100000,16.0820
781000,100000,16.0836
786000,100000,16.1309
791000,100000,15.3319
796000,100000,16.3794
801000,100000,15.3314
806000,100000,15.5739
811000,100000,16.1925
816000,100000,15.7021
821000,100000,16.6107
826000,100000,16.9665
831000,100000,15.8021
836000,100000,16.5897
841000,100000,15.7801
846000,100000,17.1153
851000,100000,16.0319
856000,100000,16.3443
861000,100000,16.0191
866000,100000,16.6124
871000,100000,16.4705
876000,100000,16.0582
881000,100000,15.8265
886000,100000,16.7001
891000,100000,16.5579
896000,100000,16.7101
901000,100000,16.0841
906000,100000,17.4894
911000,100000,16.9035
916000,100000,17.3496
921000,100000,17.1715
926000,100000,17.9946
931000,100000,16.7319
936000,100000,16.3092
941000,100000,17.0266
946000,100000,16.6442
951000,100000,17.4235
956000,100000,16.7306
961000,100000,18.1027
966000,100000,16.9220
971000,100000,16.8589
976000,100000,17.0706
981000,100000,16.5397
986000,100000,17.1437
991000,100000,16.3921
996000,100000,17.0869
