n,t,depth
1000,100000,10.9951
6000,600000,14.5584
11000,1100000,15.7711
16000,1600000,16.5192
21000,2100000,17.0674
26000,2600000,17.4960
31000,3100000,17.8463
36000,3600000,18.1456
41000,4100000,18.4042
46000,4600000,18.6333
51000,5100000,18.8438
56000,5600000,19.0316
61000,6100000,19.2012
66000,6600000,19.3581
71000,7100000,19.5044
76000,7600000,19.6419
81000,8100000,19.7690
86000,8600000,19.8885
91000,9100000,20.0012
96000,9600000,20.1075
101000,1010000,20.3116
106000,1060000,20.4126
111000,1110000,20.4903
116000,1160000,20.5793
121000,1210000,20.6630
126000,1260000,20.7429
131000,1310000,20.8357
136000,1360000,20.9203
141000,1410000,20.9881
146000,1460000,21.0512
151000,1510000,21.1156
156000,1560000,21.1792
161000,1610000,21.2382
166000,1660000,21.3131
171000,1710000,21.3691
176000,1760000,21.4319
181000,1810000,21.4832
186000,1860000,21.5264
191000,1910000,21.5875
196000,1960000,21.6369
201000,603000,21.9736
206000,618000,21.9967
211000,633000,22.0441
216000,648000,22.1008
221000,663000,22.1686
226000,678000,22.2363
231000,693000,22.2552
236000,708000,22.2824
241000,723000,22.2824
246000,738000,22.3743
251000,753000,22.4274
256000,768000,22.4512
261000,783000,22.5028
266000,798000,22.5540
271000,813000,22.5821
276000,828000,22.6233
281000,843000,22.6502
286000,858000,22.6681
291000,873000,22.7154
296000,888000,22.7432
301000,903000,22.7913
306000,918000,22.8299
311000,933000,22.8722
316000,948000,22.8886
321000,963000,22.9241
326000,978000,22.9296
331000,993000,22.9670
336000,1008000,22.9858
341000,1023000,23.0358
346000,1038000,23.0581
351000,1053000,23.0918
356000,1068000,23.1863
361000,1083000,23.1494
366000,1098000,23.1934
371000,1113000,23.2104
376000,1128000,23.2623
381000,1143000,23.2788
386000,1158000,23.3026
391000,1173000,23.3089
396000,1188000,23.3558
401000,1203000,23.3892
406000,1218000,23.3833
411000,1233000,23.4326
416000,1248000,23.4560
421000,1263000,23.5154
426000,1278000,23.5053
431000,1293000,23.5074
436000,1308000,23.5612
441000,1323000,23.6190
446000,1338000,23.5968
451000,1353000,23.6125
456000,1368000,23.6391
461000,1383000,23.6317
466000,1398000,23.7061
471000,1413000,23.7045
476000,1428000,23.7414
481000,1443000,23.7666
486000,1458000,23.7799
491000,1473000,23.7890
496000,1488000,23.8274
501000,501000,24.6765
506000,506000,24.7469
511000,511000,24.7212
516000,516000,24.7806
521000,521000,24.7757
526000,526000,24.8227
531000,531000,24.8055
536000,536000,24.7525
541000,541000,24.8532
546000,546000,24.9275
551000,551000,24.9496
556000,556000,24.8757
561000,561000,24.9670
566000,566000,24.9060
571000,571000,24.9320
576000,576000,24.9739
581000,581000,25.1106
586000,586000,24.9922
591000,591000,25.1391
596000,596000,25.0131
601000,601000,24.9930
606000,606000,25.1523
611000,611000,25.1581
616000,616000,25.1389
621000,621000,25.2380
626000,626000,25.1928
631000,631000,25.2272
636000,636000,25.1614
641000,641000,25.2972
646000,646000,25.3198
651000,651000,25.2008
656000,656000,25.2967
661000,661000,25.3286
666000,666000,25.4236
671000,671000,25.3397
676000,676000,25.3198
681000,681000,25.3979
686000,686000,25.3776
691000,691000,25.3711
696000,696000,25.3439
701000,701000,25.3257
706000,706000,25.4727
711000,711000,25.4766
716000,716000,25.4678
721000,721000,25.3794
726000,726000,25.4744
731000,731000,25.5670
736000,736000,25.5325
741000,741000,25.5153
746000,746000,25.5922
751000,751000,25.4748
756000,756000,25.6389
761000,761000,25.5898
766000,766000,25.7037
771000,771000,25.6135
776000,776000,25.6535
781000,781000,25.6294
786000,786000,25.6206
791000,791000,25.6777
796000,796000,25.6812
801000,801000,25.7341
806000,806000,25.6472
811000,811000,25.6823
816000,816000,25.7972
821000,821000,25.8060
826000,826000,25.7085
831000,831000,25.8708
836000,836000,25.7894
841000,841000,25.7976
846000,846000,25.7830
851000,851000,25.7859
856000,856000,25.8129
861000,861000,25.7618
866000,866000,25.8540
871000,871000,25.8763
876000,876000,25.8676
881000,881000,25.9635
886000,886000,25.9488
891000,891000,25.9541
896000,896000,26.0500
901000,901000,26.0108
906000,906000,25.9681
911000,911000,25.9515
916000,916000,25.9866
921000,921000,26.0332
926000,926000,26.0116
931000,931000,26.1108
936000,936000,25.9465
941000,941000,26.1816
946000,946000,26.0208
951000,951000,26.1610
956000,956000,26.1617
961000,961000,26.1972
966000,966000,26.1671
971000,971000,26.1339
976000,976000,26.2323
981000,981000,26.1621
986000,986000,26.1751
991000,991000,26.1941
996000,996000,26.2100
