n,t,depth
1000,100000,6.4821
6000,100000,6.5033
11000,100000,6.5253
16000,100000,6.5253
21000,100000,6.5492
26000,100000,6.5494
31000,100000,6.5652
36000,100000,6.6014
41000,100000,6.6129
46000,100000,6.6203
51000,100000,6.6288
56000,100000,6.6555
61000,100000,6.6616
66000,100000,6.6198
71000,100000,6.5892
76000,100000,6.7045
81000,100000,6.6207
86000,100000,6.6970
91000,100000,6.7747
96000,100000,6.7834
101000,100000,6.6557
106000,100000,6.7301
111000,100000,6.7381
116000,100000,6.7688
121000,100000,6.7200
126000,100000,6.6893
131000,100000,6.7821
136000,100000,6.8157
141000,100000,6.7260
146000,100000,6.8666
151000,100000,6.8478
156000,100000,6.9162
161000,100000,6.8580
166000,100000,7.0142
171000,100000,6.9441
176000,100000,6.8406
181000,100000,7.0605
186000,100000,6.9278
191000,100000,6.9006
196000,100000,6.9703
201000,100000,7.1635
206000,100000,7.0094
211000,100000,7.1072
216000,100000,6.9180
221000,100000,7.0429
226000,100000,7.0599
231000,100000,7.4101
236000,100000,7.0441
241000,100000,7.2301
246000,100000,7.0385
251000,100000,7.2670
256000,100000,7.0195
261000,100000,7.1023
266000,100000,7.3205
271000,100000,6.9659
276000,100000,7.0239
281000,100000,7.2908
286000,100000,7.1411
291000,100000,7.1775
296000,100000,7.3191
301000,100000,6.9469
306000,100000,7.3085
311000,100000,7.2341
316000,100000,7.2524
321000,100000,7.3798
326000,100000,7.3010
331000,100000,7.5589
336000,100000,7.2919
341000,100000,7.4089
346000,100000,7.7297
351000,100000,7.1000
356000,100000,7.5215
361000,100000,7.6106
366000,100000,7.7610
371000,100000,7.2505
376000,100000,7.5320
381000,100000,7.3303
386000,100000,7.7023
391000,100000,7.5015
396000,100000,7.5484
401000,100000,7.3939
406000,100000,8.0398
411000,100000,7.5294
416000,100000,7.4302
421000,100000,7.5580
426000,100000,7.2348
431000,100000,7.7928
436000,100000,7.5244
441000,100000,8.1600
446000,100000,8.0958
451000,100000,7.5377
456000,100000,7.9000
461000,100000,7.6120
466000,100000,7.5836
471000,100000,7.5239
476000,100000,7.6023
481000,100000,7.5871
486000,100000,7.7920
491000,100000,8.6022
496000,100000,7.6489
501000,100000,7.6731
506000,100000,7.6964
511000,100000,7.9737
516000,100000,7.6323
521000,100000,8.2919
526000,100000,7.6772
531000,100000,7.7314
536000,100000,8.5086
541000,100000,7.6778
546000,100000,8.1204
551000,100000,7.4887
556000,100000,7.9184
561000,100000,7.5543
566000,100000,7.4601
571000,100000,7.8924
576000,100000,7.8274
581000,100000,8.0749
586000,100000,8.0365
591000,100000,7.8540
596000,100000,8.1128
601000,100000,7.7478
606000,100000,8.2267
611000,100000,7.6123
616000,100000,7.6229
621000,100000,7.7364
626000,100000,7.8160
631000,100000,7.7304
636000,100000,7.9705
641000,100000,8.2987
646000,100000,8.0299
651000,100000,7.7553
656000,100000,8.6579
661000,100000,8.1864
666000,100000,8.3693
671000,100000,8.0658
676000,100000,8.1832
681000,100000,7.8227
686000,100000,8.3305
691000,100000,7.9276
696000,100000,7.5994
701000,100000,8.0016
706000,100000,7.8504
711000,100000,8.0368
716000,100000,8.5113
721000,100000,8.4152
726000,100000,8.3922
731000,100000,8.2273
736000,100000,8.9910
741000,100000,7.6437
746000,100000,8.4535
751000,100000,8.0035
756000,100000,9.0193
761000,100000,8.2557
766000,100000,8.6222
771000,100000,8.1448
776000,100000,8.8979
781000,100000,8.1445
786000,100000,7.9317
791000,100000,8.1553
796000,100000,9.0831
801000,100000,8.5598
806000,100000,9.0563
811000,100000,8.0753
816000,100000,8.3227
821000,100000,8.3163
826000,100000,8.6751
831000,100000,8.6414
836000,100000,9.1963
841000,100000,8.5073
846000,100000,8.3278
851000,100000,8.2307
856000,100000,8.4515
861000,100000,8.5170
866000,100000,8.6865
871000,100000,9.4084
876000,100000,9.2223
881000,100000,8.1884
886000,100000,7.8785
891000,100000,8.2901
896000,100000,9.0175
901000,100000,8.9067
906000,100000,7.8810
911000,100000,9.1325
916000,100000,9.0554
921000,100000,8.6742
926000,100000,9.2019
931000,100000,8.7822
936000,100000,9.5872
941000,100000,8.6492
946000,100000,8.5278
951000,100000,7.9776
956000,100000,8.5017
961000,100000,9.8569
966000,100000,8.8730
971000,100000,8.9933
976000,100000,8.6023
981000,100000,8.8573
986000,100000,9.3218
991000,100000,8.7643
996000,100000,9.2212
