n,t,depth
100,100,50.4800
200,200,100.4900
300,300,150.4933
400,400,200.4950
500,500,250.4960
600,600,300.4967
700,700,350.4971
800,800,400.4975
900,900,450.4978
1000,1000,500.4980
1100,1100,550.4982
1200,1200,600.4983
1300,1300,650.4985
1400,1400,700.4986
1500,1500,750.4987
1600,1600,800.4987
1700,1700,850.4988
1800,1800,900.4989
1900,1900,950.4989
2000,2000,1000.4990
