n,t,avg_depth
1000,100000,6.6856
6000,100000,6.7047
11000,100000,6.7071
16000,100000,6.7078
21000,100000,6.6960
26000,100000,6.6886
31000,100000,6.6987
36000,100000,6.7091
41000,100000,6.6992
46000,100000,6.7059
51000,100000,6.7027
56000,100000,6.7028
61000,100000,6.6923
66000,100000,6.6997
71000,100000,6.6907
76000,100000,6.7003
81000,100000,6.6969
86000,100000,6.7023
91000,100000,6.6995
96000,100000,6.6976
101000,100000,6.7065
106000,100000,6.7064
111000,100000,6.7069
116000,100000,6.7042
121000,100000,6.7102
126000,100000,6.6828
131000,100000,6.7025
136000,100000,6.7006
141000,100000,6.7089
146000,100000,6.6988
151000,100000,6.6971
156000,100000,6.7089
161000,100000,6.6822
166000,100000,6.7104
171000,100000,6.7049
176000,100000,6.7007
181000,100000,6.7035
186000,100000,6.6880
191000,100000,6.7070
196000,100000,6.6986
201000,100000,6.7004
206000,100000,6.7077
211000,100000,6.6973
216000,100000,6.7032
221000,100000,6.6950
226000,100000,6.7156
231000,100000,6.6946
236000,100000,6.6923
241000,100000,6.7108
246000,100000,6.6967
251000,100000,6.6898
256000,100000,6.7014
261000,100000,6.7091
266000,100000,6.6971
271000,100000,6.6932
276000,100000,6.6849
281000,100000,6.6857
286000,100000,6.6903
291000,100000,6.7077
296000,100000,6.7039
301000,100000,6.6982
306000,100000,6.6814
311000,100000,6.6988
316000,100000,6.7018
321000,100000,6.7175
326000,100000,6.7036
331000,100000,6.7004
336000,100000,6.6917
341000,100000,6.7066
346000,100000,6.7008
351000,100000,6.6876
356000,100000,6.6946
361000,100000,6.6956
366000,100000,6.7089
371000,100000,6.7020
376000,100000,6.7049
381000,100000,6.7053
386000,100000,6.6901
391000,100000,6.6934
396000,100000,6.7011
401000,100000,6.7072
406000,100000,6.6911
411000,100000,6.6966
416000,100000,6.6915
421000,100000,6.6966
426000,100000,6.6861
431000,100000,6.7042
436000,100000,6.6996
441000,100000,6.6862
446000,100000,6.7164
451000,100000,6.6981
456000,100000,6.7111
461000,100000,6.6898
466000,100000,6.7005
471000,100000,6.6917
476000,100000,6.7006
481000,100000,6.6902
486000,100000,6.7086
491000,100000,6.7122
496000,100000,6.7048
501000,100000,6.6886
506000,100000,6.6878
511000,100000,6.7007
516000,100000,6.7051
521000,100000,6.7038
526000,100000,6.7011
531000,100000,6.7070
536000,100000,6.6904
541000,100000,6.6934
546000,100000,6.6855
551000,100000,6.6881
556000,100000,6.7059
561000,100000,6.6987
566000,100000,6.7041
571000,100000,6.7180
576000,100000,6.6863
581000,100000,6.6914
586000,100000,6.6970
591000,100000,6.6908
596000,100000,6.7042
601000,100000,6.7043
606000,100000,6.7033
611000,100000,6.6992
616000,100000,6.7001
621000,100000,6.7152
626000,100000,6.6966
631000,100000,6.7024
636000,100000,6.6935
641000,100000,6.7036
646000,100000,6.6959
651000,100000,6.7001
656000,100000,6.7052
661000,100000,6.7037
666000,100000,6.6982
671000,100000,6.6960
676000,100000,6.7068
681000,100000,6.7088
686000,100000,6.6944
691000,100000,6.7011
696000,100000,6.6913
701000,100000,6.7052
706000,100000,6.7027
711000,100000,6.7104
716000,100000,6.7031
721000,100000,6.6934
726000,100000,6.6893
731000,100000,6.6945
736000,100000,6.6909
741000,100000,6.6920
746000,100000,6.6954
751000,100000,6.7006
756000,100000,6.6999
761000,100000,6.6980
766000,100000,6.7103
771000,100000,6.6946
776000,100000,6.6998
781000,100000,6.6958
786000,100000,6.7108
791000,100000,6.6950
796000,100000,6.6936
801000,100000,6.7019
806000,100000,6.6903
811000,100000,6.6997
816000,100000,6.6945
821000,100000,6.6997
826000,100000,6.6820
831000,100000,6.7088
836000,100000,6.6996
841000,100000,6.6830
846000,100000,6.6935
851000,100000,6.6916
856000,100000,6.7052
861000,100000,6.7033
866000,100000,6.6881
871000,100000,6.7073
876000,100000,6.7072
881000,100000,6.7041
886000,100000,6.6914
891000,100000,6.7071
896000,100000,6.7070
901000,100000,6.6926
906000,100000,6.6909
911000,100000,6.6936
916000,100000,6.6955
921000,100000,6.6853
926000,100000,6.6956
931000,100000,6.6953
936000,100000,6.6969
941000,100000,6.6943
946000,100000,6.6990
951000,100000,6.6869
956000,100000,6.7046
961000,100000,6.6927
966000,100000,6.7090
971000,100000,6.6994
976000,100000,6.6937
981000,100000,6.7032
986000,100000,6.6964
991000,100000,6.6920
996000,100000,6.6970
