n,t,avg_depth
1000,100000,11.4240
6000,100000,11.4230
11000,100000,11.4577
16000,100000,11.4656
21000,100000,11.4628
26000,100000,11.4706
31000,100000,11.4749
36000,100000,11.4729
41000,100000,11.4913
46000,100000,11.4898
51000,100000,11.4887
56000,100000,11.4790
61000,100000,11.4735
66000,100000,11.4954
71000,100000,11.4894
76000,100000,11.4823
81000,100000,11.4925
86000,100000,11.4942
91000,100000,11.5064
96000,100000,11.5116
101000,100000,11.5059
106000,100000,11.5168
111000,100000,11.5001
116000,100000,11.4867
121000,100000,11.5198
126000,100000,11.4941
131000,100000,11.5035
136000,100000,11.5189
141000,100000,11.5038
146000,100000,11.5113
151000,100000,11.5049
156000,100000,11.4968
161000,100000,11.5173
166000,100000,11.5084
171000,100000,11.5139
176000,100000,11.5153
181000,100000,11.5100
186000,100000,11.5074
191000,100000,11.5333
196000,100000,11.5161
201000,100000,11.5259
206000,100000,11.4983
211000,100000,11.5231
216000,100000,11.5048
221000,100000,11.5212
226000,100000,11.5055
231000,100000,11.5204
236000,100000,11.5023
241000,100000,11.5173
246000,100000,11.5141
251000,100000,11.5227
256000,100000,11.5213
261000,100000,11.5258
266000,100000,11.5165
271000,100000,11.5148
276000,100000,11.5213
281000,100000,11.5188
286000,100000,11.5126
291000,100000,11.5098
296000,100000,11.5326
301000,100000,11.5215
306000,100000,11.5222
311000,100000,11.5380
316000,100000,11.5398
321000,100000,11.5201
326000,100000,11.5252
331000,100000,11.5274
336000,100000,11.5436
341000,100000,11.5236
346000,100000,11.5270
351000,100000,11.5388
356000,100000,11.5300
361000,100000,11.5374
366000,100000,11.5296
371000,100000,11.5405
376000,100000,11.5478
381000,100000,11.5375
386000,100000,11.5343
391000,100000,11.5266
396000,100000,11.5261
401000,100000,11.5278
406000,100000,11.5289
411000,100000,11.5354
416000,100000,11.5231
421000,100000,11.5338
426000,100000,11.5409
431000,100000,11.5353
436000,100000,11.5360
441000,100000,11.5317
446000,100000,11.5412
451000,100000,11.5469
456000,100000,11.5285
461000,100000,11.5263
466000,100000,11.5454
471000,100000,11.5231
476000,100000,11.5346
481000,100000,11.5303
486000,100000,11.5398
491000,100000,11.5394
496000,100000,11.5254
501000,100000,11.5417
506000,100000,11.5364
511000,100000,11.5396
516000,100000,11.5418
521000,100000,11.5460
526000,100000,11.5371
531000,100000,11.5430
536000,100000,11.5400
541000,100000,11.5428
546000,100000,11.5339
551000,100000,11.5444
556000,100000,11.5424
561000,100000,11.5441
566000,100000,11.5401
571000,100000,11.5456
576000,100000,11.5354
581000,100000,11.5357
586000,100000,11.5372
591000,100000,11.5262
596000,100000,11.5464
601000,100000,11.5406
606000,100000,11.5460
611000,100000,11.5426
616000,100000,11.5208
621000,100000,11.5600
626000,100000,11.5538
631000,100000,11.5655
636000,100000,11.5508
641000,100000,11.5436
646000,100000,11.5538
651000,100000,11.5447
656000,100000,11.5429
661000,100000,11.5434
666000,100000,11.5516
671000,100000,11.5498
676000,100000,11.5402
681000,100000,11.5344
686000,100000,11.5320
691000,100000,11.5299
696000,100000,11.5430
701000,100000,11.5505
706000,100000,11.5479
711000,100000,11.5477
716000,100000,11.5474
721000,100000,11.5449
726000,100000,11.5437
731000,100000,11.5686
736000,100000,11.5264
741000,100000,11.5454
746000,100000,11.5407
751000,100000,11.5370
756000,100000,11.5616
761000,100000,11.5459
766000,100000,11.5556
771000,100000,11.5559
776000,100000,11.5483
781000,100000,11.5396
786000,100000,11.5476
791000,100000,11.5486
796000,100000,11.5359
801000,100000,11.5505
806000,100000,11.5502
811000,100000,11.5447
816000,100000,11.5581
821000,100000,11.5341
826000,100000,11.5343
831000,100000,11.5407
836000,100000,11.6110
841000,100000,11.5656
846000,100000,11.5305
851000,100000,11.5431
856000,100000,11.5462
861000,100000,11.5617
866000,100000,11.5527
871000,100000,11.5404
876000,100000,11.5477
881000,100000,11.5473
886000,100000,11.5504
891000,100000,11.5487
896000,100000,11.5562
901000,100000,11.5330
906000,100000,11.5357
911000,100000,11.5641
916000,100000,11.5511
921000,100000,11.5503
926000,100000,11.5605
931000,100000,11.5500
936000,100000,11.5549
941000,100000,11.5625
946000,100000,11.5498
951000,100000,11.5374
956000,100000,11.5621
961000,100000,11.5681
966000,100000,11.5914
971000,100000,11.5756
976000,100000,11.5625
981000,100000,11.5679
986000,100000,11.5385
991000,100000,11.5576
996000,100000,11.5616
