n,t,avg_depth
1000,100000,11.4159
6000,600000,15.1537
11000,1100000,16.4244
16000,1600000,17.2079
21000,2100000,17.7820
26000,2600000,18.2291
31000,3100000,18.5960
36000,3600000,18.9104
41000,4100000,19.1802
46000,4600000,19.4210
51000,5100000,19.6403
56000,5600000,19.8365
61000,6100000,20.0141
66000,6600000,20.1800
71000,7100000,20.3335
76000,7600000,20.4759
81000,8100000,20.6070
86000,8600000,20.7353
91000,9100000,20.8513
96000,9600000,20.9667
101000,1010000,21.0751
106000,1060000,21.1721
111000,1110000,21.2677
116000,1160000,21.3613
121000,1210000,21.4496
126000,1260000,21.5313
131000,1310000,21.6165
136000,1360000,21.6968
141000,1410000,21.7692
146000,1460000,21.8437
151000,1510000,21.9073
156000,1560000,21.9848
161000,1610000,22.0479
166000,1660000,22.1140
171000,1710000,22.1768
176000,1760000,22.2348
181000,1810000,22.2968
186000,1860000,22.3537
191000,1910000,22.4066
196000,1960000,22.4583
201000,603000,22.5074
206000,618000,22.5673
211000,633000,22.6105
216000,648000,22.6641
221000,663000,22.7126
226000,678000,22.7489
231000,693000,22.8037
236000,708000,22.8435
241000,723000,22.8931
246000,738000,22.9329
251000,753000,22.9706
256000,768000,23.0140
261000,783000,23.0628
266000,798000,23.1004
271000,813000,23.1261
276000,828000,23.1740
281000,843000,23.2141
286000,858000,23.2517
291000,873000,23.2781
296000,888000,23.3232
301000,903000,23.3523
306000,918000,23.3939
311000,933000,23.4185
316000,948000,23.4590
321000,963000,23.4935
326000,978000,23.5305
331000,993000,23.5617
336000,1008000,23.5873
341000,1023000,23.6213
346000,1038000,23.6487
351000,1053000,23.6758
356000,1068000,23.7050
361000,1083000,23.7399
366000,1098000,23.7733
371000,1113000,23.7878
376000,1128000,23.8236
381000,1143000,23.8547
386000,1158000,23.8809
391000,1173000,23.9030
396000,1188000,23.9339
401000,1203000,23.9625
406000,1218000,23.9833
411000,1233000,24.0112
416000,1248000,24.0334
421000,1263000,24.0600
426000,1278000,24.0841
431000,1293000,24.1059
436000,1308000,24.1374
441000,1323000,24.1589
446000,1338000,24.1886
451000,1353000,24.2026
456000,1368000,24.2265
461000,1383000,24.2527
466000,1398000,24.2709
471000,1413000,24.2963
476000,1428000,24.3198
481000,1443000,24.3403
486000,1458000,24.3627
491000,1473000,24.3873
496000,1488000,24.4060
501000,501000,24.4189
506000,506000,24.4413
511000,511000,24.4639
516000,516000,24.4854
521000,521000,24.5038
526000,526000,24.5156
531000,531000,24.5429
536000,536000,24.5600
541000,541000,24.5773
546000,546000,24.5970
551000,551000,24.6197
556000,556000,24.6341
561000,561000,24.6482
566000,566000,24.6770
571000,571000,24.6918
576000,576000,24.7125
581000,581000,24.7287
586000,586000,24.7578
591000,591000,24.7678
596000,596000,24.7823
601000,601000,24.7992
606000,606000,24.8244
611000,611000,24.8369
616000,616000,24.8452
621000,621000,24.8685
626000,626000,24.8891
631000,631000,24.8990
636000,636000,24.9198
641000,641000,24.9307
646000,646000,24.9466
651000,651000,24.9628
656000,656000,24.9809
661000,661000,24.9879
666000,666000,25.0139
671000,671000,25.0299
676000,676000,25.0467
681000,681000,25.0545
686000,686000,25.0773
691000,691000,25.0924
696000,696000,25.1020
701000,701000,25.1208
706000,706000,25.1362
711000,711000,25.1510
716000,716000,25.1668
721000,721000,25.1768
726000,726000,25.1957
731000,731000,25.2098
736000,736000,25.2237
741000,741000,25.2355
746000,746000,25.2467
751000,751000,25.2657
756000,756000,25.2911
761000,761000,25.2888
766000,766000,25.3116
771000,771000,25.3112
776000,776000,25.3271
781000,781000,25.3500
786000,786000,25.3628
791000,791000,25.3745
796000,796000,25.3879
801000,801000,25.4001
806000,806000,25.4110
811000,811000,25.4240
816000,816000,25.4418
821000,821000,25.4538
826000,826000,25.4616
831000,831000,25.4789
836000,836000,25.4923
841000,841000,25.4940
846000,846000,25.5181
851000,851000,25.5295
856000,856000,25.5347
861000,861000,25.5554
866000,866000,25.5677
871000,871000,25.5760
876000,876000,25.5907
881000,881000,25.6000
886000,886000,25.6131
891000,891000,25.6194
896000,896000,25.6379
901000,901000,25.6441
906000,906000,25.6539
911000,911000,25.6733
916000,916000,25.6810
921000,921000,25.6997
926000,926000,25.7044
931000,931000,25.7107
936000,936000,25.7216
941000,941000,25.7314
946000,946000,25.7503
951000,951000,25.7652
956000,956000,25.7715
961000,961000,25.7861
966000,966000,25.7901
971000,971000,25.8058
976000,976000,25.8151
981000,981000,25.8261
986000,986000,25.8311
991000,991000,25.8436
996000,996000,25.8566
