n,t,avg_depth
1000,10000,2.5262
6000,10000,2.5330
11000,10000,2.5202
16000,10000,2.4973
21000,10000,2.5711
26000,10000,2.5235
31000,10000,2.5097
36000,10000,2.5421
41000,10000,2.5078
46000,10000,2.5395
51000,10000,2.5167
56000,10000,2.5434
61000,10000,2.5328
66000,10000,2.5355
71000,10000,2.5534
76000,10000,2.5405
81000,10000,2.5352
86000,10000,2.5100
91000,10000,2.5191
96000,10000,2.5246
101000,10000,2.4934
106000,10000,2.5076
111000,10000,2.5237
116000,10000,2.5048
121000,10000,2.5155
126000,10000,2.5007
131000,10000,2.5375
136000,10000,2.5653
141000,10000,2.5368
146000,10000,2.5229
151000,10000,2.5636
156000,10000,2.5057
161000,10000,2.5393
166000,10000,2.5251
171000,10000,2.5325
176000,10000,2.5173
181000,10000,2.5301
186000,10000,2.5332
191000,10000,2.5762
196000,10000,2.5140
201000,10000,2.5168
206000,10000,2.5295
211000,10000,2.5364
216000,10000,2.5175
221000,10000,2.5249
226000,10000,2.5191
231000,10000,2.5403
236000,10000,2.5232
241000,10000,2.5793
246000,10000,2.5454
251000,10000,2.5304
256000,10000,2.5232
261000,10000,2.5623
266000,10000,2.5164
271000,10000,2.5197
276000,10000,2.5374
281000,10000,2.5429
286000,10000,2.5485
291000,10000,2.5299
296000,10000,2.5079
301000,10000,2.5341
306000,10000,2.5216
311000,10000,2.5479
316000,10000,2.5602
321000,10000,2.5364
326000,10000,2.5329
331000,10000,2.5253
336000,10000,2.5246
341000,10000,2.5523
346000,10000,2.5970
351000,10000,2.5114
356000,10000,2.5389
361000,10000,2.5584
366000,10000,2.5384
371000,10000,2.5138
376000,10000,2.5155
381000,10000,2.5323
386000,10000,2.5532
391000,10000,2.5287
396000,10000,2.4982
401000,10000,2.4796
406000,10000,2.5570
411000,10000,2.5251
416000,10000,2.5197
421000,10000,2.5093
426000,10000,2.5359
431000,10000,2.4989
436000,10000,2.5134
441000,10000,2.5587
446000,10000,2.5128
451000,10000,2.5142
456000,10000,2.5578
461000,10000,2.5409
466000,10000,2.5053
471000,10000,2.5394
476000,10000,2.5312
481000,10000,2.5388
486000,10000,2.5405
491000,10000,2.5115
496000,10000,2.5582
501000,10000,2.5367
506000,10000,2.5555
511000,10000,2.5765
516000,10000,2.5367
521000,10000,2.5225
526000,10000,2.5705
531000,10000,2.5461
536000,10000,2.5288
541000,10000,2.5141
546000,10000,2.5315
551000,10000,2.5672
556000,10000,2.5413
561000,10000,2.5521
566000,10000,2.5683
571000,10000,2.5714
576000,10000,2.5137
581000,10000,2.5381
586000,10000,2.5210
591000,10000,2.5442
596000,10000,2.5309
601000,10000,2.5310
606000,10000,2.5420
611000,10000,2.5458
616000,10000,2.5139
621000,10000,2.5350
626000,10000,2.5411
631000,10000,2.5152
636000,10000,2.5312
641000,10000,2.5304
646000,10000,2.5123
651000,10000,2.5810
656000,10000,2.5195
661000,10000,2.5284
666000,10000,2.5482
671000,10000,2.5128
676000,10000,2.5126
681000,10000,2.5638
686000,10000,2.5338
691000,10000,2.5407
696000,10000,2.5404
701000,10000,2.5274
706000,10000,2.5366
711000,10000,2.5230
716000,10000,2.5552
721000,10000,2.5299
726000,10000,2.5129
731000,10000,2.5880
736000,10000,2.5436
741000,10000,2.5232
746000,10000,2.5000
751000,10000,2.5656
756000,10000,2.5436
761000,10000,2.5094
766000,10000,2.5523
771000,10000,2.5391
776000,10000,2.5119
781000,10000,2.5586
786000,10000,2.5162
791000,10000,2.5021
796000,10000,2.5226
801000,10000,2.5357
806000,10000,2.5244
811000,10000,2.5338
816000,10000,2.5504
821000,10000,2.5533
826000,10000,2.5285
831000,10000,2.5874
836000,10000,2.5292
841000,10000,2.5296
846000,10000,2.5716
851000,10000,2.5451
856000,10000,2.5371
861000,10000,2.5148
866000,10000,2.5812
871000,10000,2.5287
876000,10000,2.6205
881000,10000,2.5366
886000,10000,2.5341
891000,10000,2.5255
896000,10000,2.5089
901000,10000,2.5292
906000,10000,2.5666
911000,10000,2.5200
916000,10000,2.5444
921000,10000,2.5140
926000,10000,2.5238
931000,10000,2.5552
936000,10000,2.5105
941000,10000,2.5139
946000,10000,2.5162
951000,10000,2.5442
956000,10000,2.5239
961000,10000,2.5354
966000,10000,2.5854
971000,10000,2.5509
976000,10000,2.5417
981000,10000,2.5292
986000,10000,2.5221
991000,10000,2.5385
996000,10000,2.6456
