n,t,avg_depth
1000,100000,11.4159
6000,600000,15.1537
11000,1100000,16.4244
16000,1600000,17.2079
21000,2100000,17.7820
26000,2600000,18.2291
31000,3100000,18.5960
36000,3600000,18.9104
41000,4100000,19.1802
46000,4600000,19.4210
51000,5100000,19.6403
56000,5600000,19.8365
61000,6100000,20.0141
66000,6600000,20.1800
71000,7100000,20.3335
76000,7600000,20.4759
81000,8100000,20.6070
86000,8600000,20.7353
91000,9100000,20.8513
96000,9600000,20.9667
101000,1000000,21.0518
106000,1000000,21.0497
111000,1000000,21.0601
116000,1000000,21.0526
121000,1000000,21.0574
126000,1000000,21.0557
131000,1000000,21.0616
136000,1000000,21.0579
141000,1000000,21.0553
146000,1000000,21.0554
151000,1000000,21.0624
156000,1000000,21.0589
161000,1000000,21.0596
166000,1000000,21.0587
171000,1000000,21.0594
176000,1000000,21.0627
181000,1000000,21.0504
186000,1000000,21.0584
191000,1000000,21.0603
196000,1000000,21.0590
201000,1000000,21.0633
206000,1000000,21.0592
211000,1000000,21.0557
216000,1000000,21.0569
221000,1000000,21.0567
226000,1000000,21.0617
231000,1000000,21.0585
236000,1000000,21.0637
241000,1000000,21.0592
246000,1000000,21.0610
251000,1000000,21.0580
256000,1000000,21.0602
261000,1000000,21.0579
266000,1000000,21.0560
271000,1000000,21.0605
276000,1000000,21.0665
281000,1000000,21.0608
286000,1000000,21.0572
291000,1000000,21.0611
296000,1000000,21.0620
301000,1000000,21.0607
306000,1000000,21.0579
311000,1000000,21.0606
316000,1000000,21.0625
321000,1000000,21.0594
326000,1000000,21.0571
331000,1000000,21.0599
336000,1000000,21.0576
341000,1000000,21.0564
346000,1000000,21.0601
351000,1000000,21.0582
356000,1000000,21.0554
361000,1000000,21.0562
366000,1000000,21.0577
371000,1000000,21.0577
376000,1000000,21.0546
381000,1000000,21.0524
386000,1000000,21.0565
391000,1000000,21.0601
396000,1000000,21.0533
401000,1000000,21.0536
406000,1000000,21.0534
411000,1000000,21.0545
416000,1000000,21.0525
421000,1000000,21.0540
426000,1000000,21.0530
431000,1000000,21.0522
436000,1000000,21.0559
441000,1000000,21.0483
446000,1000000,21.0582
451000,1000000,21.0533
456000,1000000,21.0520
461000,1000000,21.0597
466000,1000000,21.0489
471000,1000000,21.0565
476000,1000000,21.0515
481000,1000000,21.0542
486000,1000000,21.0516
491000,1000000,21.0539
496000,1000000,21.0535
501000,1000000,21.0539
506000,1000000,21.0500
511000,1000000,21.0494
516000,1000000,21.0551
521000,1000000,21.0537
526000,1000000,21.0546
531000,1000000,21.0500
536000,1000000,21.0544
541000,1000000,21.0502
546000,1000000,21.0483
551000,1000000,21.0491
556000,1000000,21.0468
561000,1000000,21.0524
566000,1000000,21.0505
571000,1000000,21.0519
576000,1000000,21.0473
581000,1000000,21.0478
586000,1000000,21.0467
591000,1000000,21.0485
596000,1000000,21.0428
601000,1000000,21.0491
606000,1000000,21.0474
611000,1000000,21.0517
616000,1000000,21.0473
621000,1000000,21.0516
626000,1000000,21.0542
631000,1000000,21.0480
636000,1000000,21.0542
641000,1000000,21.0470
646000,1000000,21.0519
651000,1000000,21.0427
656000,1000000,21.0494
661000,1000000,21.0444
666000,1000000,21.0427
671000,1000000,21.0482
676000,1000000,21.0545
681000,1000000,21.0464
686000,1000000,21.0498
691000,1000000,21.0461
696000,1000000,21.0481
701000,1000000,21.0473
706000,1000000,21.0491
711000,1000000,21.0526
716000,1000000,21.0482
721000,1000000,21.0497
726000,1000000,21.0485
731000,1000000,21.0522
736000,1000000,21.0449
741000,1000000,21.0462
746000,1000000,21.0456
751000,1000000,21.0462
756000,1000000,21.0529
761000,1000000,21.0489
766000,1000000,21.0523
771000,1000000,21.0469
776000,1000000,21.0476
781000,1000000,21.0476
786000,1000000,21.0462
791000,1000000,21.0455
796000,1000000,21.0464
801000,1000000,21.0478
806000,1000000,21.0495
811000,1000000,21.0512
816000,1000000,21.0452
821000,1000000,21.0479
826000,1000000,21.0514
831000,1000000,21.0456
836000,1000000,21.0457
841000,1000000,21.0441
846000,1000000,21.0479
851000,1000000,21.0463
856000,1000000,21.0546
861000,1000000,21.0465
866000,1000000,21.0502
871000,1000000,21.0490
876000,1000000,21.0458
881000,1000000,21.0546
886000,1000000,21.0496
891000,1000000,21.0506
896000,1000000,21.0460
901000,1000000,21.0539
906000,1000000,21.0501
911000,1000000,21.0513
916000,1000000,21.0501
921000,1000000,21.0464
926000,1000000,21.0495
931000,1000000,21.0491
936000,1000000,21.0507
941000,1000000,21.0449
946000,1000000,21.0488
951000,1000000,21.0517
956000,1000000,21.0457
961000,1000000,21.0490
966000,1000000,21.0538
971000,1000000,21.0518
976000,1000000,21.0526
981000,1000000,21.0547
986000,1000000,21.0514
991000,1000000,21.0540
996000,1000000,21.0536
