n,t,avg_depth
1000,100000,6.7032
6000,100000,6.7199
11000,100000,6.7210
16000,100000,6.7094
21000,100000,6.7049
26000,100000,6.7149
31000,100000,6.6988
36000,100000,6.7084
41000,100000,6.7153
46000,100000,6.7235
51000,100000,6.7159
56000,100000,6.7178
61000,100000,6.7088
66000,100000,6.7346
71000,100000,6.7151
76000,100000,6.7073
81000,100000,6.7032
86000,100000,6.7126
91000,100000,6.7106
96000,100000,6.7283
101000,100000,6.7111
106000,100000,6.7019
111000,100000,6.7214
116000,100000,6.7073
121000,100000,6.7161
126000,100000,6.6981
131000,100000,6.7159
136000,100000,6.7042
141000,100000,6.7173
146000,100000,6.7056
151000,100000,6.7220
156000,100000,6.7219
161000,100000,6.7153
166000,100000,6.7235
171000,100000,6.7152
176000,100000,6.7036
181000,100000,6.7076
186000,100000,6.7122
191000,100000,6.7425
196000,100000,6.7240
201000,100000,6.7061
206000,100000,6.7176
211000,100000,6.7142
216000,100000,6.7127
221000,100000,6.7213
226000,100000,6.7177
231000,100000,6.7200
236000,100000,6.7118
241000,100000,6.7070
246000,100000,6.7153
251000,100000,6.7254
256000,100000,6.7138
261000,100000,6.7159
266000,100000,6.7250
271000,100000,6.7214
276000,100000,6.7155
281000,100000,6.7152
286000,100000,6.7283
291000,100000,6.7261
296000,100000,6.7242
301000,100000,6.7089
306000,100000,6.7326
311000,100000,6.7189
316000,100000,6.7160
321000,100000,6.7109
326000,100000,6.7139
331000,100000,6.7311
336000,100000,6.7071
341000,100000,6.7141
346000,100000,6.7226
351000,100000,6.7220
356000,100000,6.7219
361000,100000,6.7128
366000,100000,6.7162
371000,100000,6.7243
376000,100000,6.7152
381000,100000,6.7218
386000,100000,6.7232
391000,100000,6.7210
396000,100000,6.7121
401000,100000,6.7235
406000,100000,6.7188
411000,100000,6.7260
416000,100000,6.7175
421000,100000,6.7299
426000,100000,6.7265
431000,100000,6.7255
436000,100000,6.7163
441000,100000,6.7261
446000,100000,6.7244
451000,100000,6.7248
456000,100000,6.7193
461000,100000,6.7174
466000,100000,6.7181
471000,100000,6.7237
476000,100000,6.7220
481000,100000,6.7176
486000,100000,6.7182
491000,100000,6.7151
496000,100000,6.7272
501000,100000,6.7241
506000,100000,6.7248
511000,100000,6.7213
516000,100000,6.7304
521000,100000,6.7386
526000,100000,6.7183
531000,100000,6.7211
536000,100000,6.7119
541000,100000,6.7150
546000,100000,6.7215
551000,100000,6.7105
556000,100000,6.7214
561000,100000,6.7239
566000,100000,6.7095
571000,100000,6.7200
576000,100000,6.7101
581000,100000,6.7097
586000,100000,6.7178
591000,100000,6.7142
596000,100000,6.7189
601000,100000,6.7254
606000,100000,6.7330
611000,100000,6.7118
616000,100000,6.7128
621000,100000,6.7275
626000,100000,6.7453
631000,100000,6.7266
636000,100000,6.7170
641000,100000,6.7247
646000,100000,6.7234
651000,100000,6.7110
656000,100000,6.7288
661000,100000,6.7267
666000,100000,6.7267
671000,100000,6.7274
676000,100000,6.7266
681000,100000,6.7106
686000,100000,6.7093
691000,100000,6.7148
696000,100000,6.7164
701000,100000,6.7169
706000,100000,6.7299
711000,100000,6.7313
716000,100000,6.7137
721000,100000,6.7287
726000,100000,6.7186
731000,100000,6.7371
736000,100000,6.7164
741000,100000,6.7257
746000,100000,6.7215
751000,100000,6.7158
756000,100000,6.7218
761000,100000,6.7288
766000,100000,6.7316
771000,100000,6.7301
776000,100000,6.7134
781000,100000,6.7316
786000,100000,6.7288
791000,100000,6.7156
796000,100000,6.7091
801000,100000,6.7337
806000,100000,6.7155
811000,100000,6.7173
816000,100000,6.7290
821000,100000,6.7289
826000,100000,6.7200
831000,100000,6.7297
836000,100000,6.7455
841000,100000,6.7204
846000,100000,6.7134
851000,100000,6.7295
856000,100000,6.7267
861000,100000,6.7245
866000,100000,6.7276
871000,100000,6.7288
876000,100000,6.7321
881000,100000,6.7240
886000,100000,6.7090
891000,100000,6.7239
896000,100000,6.7316
901000,100000,6.7248
906000,100000,6.7211
911000,100000,6.7204
916000,100000,6.7432
921000,100000,6.7188
926000,100000,6.7107
931000,100000,6.7261
936000,100000,6.7369
941000,100000,6.7171
946000,100000,6.7262
951000,100000,6.7347
956000,100000,6.7210
961000,100000,6.7337
966000,100000,6.7478
971000,100000,6.7383
976000,100000,6.7237
981000,100000,6.7359
986000,100000,6.7147
991000,100000,6.7238
996000,100000,6.7343
