n,t,avg_depth
1000,100000,11.4159
6000,600000,15.1537
11000,1000000,16.2214
16000,1000000,16.2277
21000,1000000,16.2232
26000,1000000,16.2255
31000,1000000,16.2250
36000,1000000,16.2250
41000,1000000,16.2235
46000,1000000,16.2256
51000,1000000,16.2283
56000,1000000,16.2258
61000,1000000,16.2289
66000,1000000,16.2270
71000,1000000,16.2169
76000,1000000,16.2225
81000,1000000,16.2265
86000,1000000,16.2274
91000,1000000,16.2266
96000,1000000,16.2241
101000,1000000,16.2227
106000,1000000,16.2279
111000,1000000,16.2284
116000,1000000,16.2257
121000,1000000,16.2338
126000,1000000,16.2273
131000,1000000,16.2296
136000,1000000,16.2301
141000,1000000,16.2274
146000,1000000,16.2333
151000,1000000,16.2287
156000,1000000,16.2345
161000,1000000,16.2234
166000,1000000,16.2315
171000,1000000,16.2283
176000,1000000,16.2274
181000,1000000,16.2286
186000,1000000,16.2314
191000,1000000,16.2355
196000,1000000,16.2267
201000,1000000,16.2280
206000,1000000,16.2196
211000,1000000,16.2319
216000,1000000,16.2263
221000,1000000,16.2280
226000,1000000,16.2223
231000,1000000,16.2287
236000,1000000,16.2255
241000,1000000,16.2291
246000,1000000,16.2281
251000,1000000,16.2301
256000,1000000,16.2268
261000,1000000,16.2288
266000,1000000,16.2295
271000,1000000,16.2286
276000,1000000,16.2239
281000,1000000,16.2320
286000,1000000,16.2318
291000,1000000,16.2285
296000,1000000,16.2314
301000,1000000,16.2270
306000,1000000,16.2270
311000,1000000,16.2316
316000,1000000,16.2259
321000,1000000,16.2253
326000,1000000,16.2256
331000,1000000,16.2296
336000,1000000,16.2276
341000,1000000,16.2282
346000,1000000,16.2278
351000,1000000,16.2326
356000,1000000,16.2286
361000,1000000,16.2249
366000,1000000,16.2278
371000,1000000,16.2275
376000,1000000,16.2292
381000,1000000,16.2272
386000,1000000,16.2247
391000,1000000,16.2304
396000,1000000,16.2283
401000,1000000,16.2272
406000,1000000,16.2268
411000,1000000,16.2219
416000,1000000,16.2268
421000,1000000,16.2310
426000,1000000,16.2284
431000,1000000,16.2261
436000,1000000,16.2290
441000,1000000,16.2293
446000,1000000,16.2338
451000,1000000,16.2270
456000,1000000,16.2322
461000,1000000,16.2266
466000,1000000,16.2313
471000,1000000,16.2252
476000,1000000,16.2292
481000,1000000,16.2301
486000,1000000,16.2296
491000,1000000,16.2298
496000,1000000,16.2271
501000,1000000,16.2268
506000,1000000,16.2296
511000,1000000,16.2299
516000,1000000,16.2291
521000,1000000,16.2251
526000,1000000,16.2289
531000,1000000,16.2310
536000,1000000,16.2318
541000,1000000,16.2271
546000,1000000,16.2308
551000,1000000,16.2275
556000,1000000,16.2297
561000,1000000,16.2350
566000,1000000,16.2247
571000,1000000,16.2258
576000,1000000,16.2294
581000,1000000,16.2283
586000,1000000,16.2335
591000,1000000,16.2286
596000,1000000,16.2308
601000,1000000,16.2258
606000,1000000,16.2247
611000,1000000,16.2304
616000,1000000,16.2319
621000,1000000,16.2312
626000,1000000,16.2294
631000,1000000,16.2326
636000,1000000,16.2308
641000,1000000,16.2337
646000,1000000,16.2236
651000,1000000,16.2261
656000,1000000,16.2303
661000,1000000,16.2275
666000,1000000,16.2175
671000,1000000,16.2294
676000,1000000,16.2269
681000,1000000,16.2316
686000,1000000,16.2260
691000,1000000,16.2288
696000,1000000,16.2254
701000,1000000,16.2276
706000,1000000,16.2255
711000,1000000,16.2261
716000,1000000,16.2340
721000,1000000,16.2266
726000,1000000,16.2310
731000,1000000,16.2283
736000,1000000,16.2197
741000,1000000,16.2272
746000,1000000,16.2299
751000,1000000,16.2322
756000,1000000,16.2260
761000,1000000,16.2286
766000,1000000,16.2244
771000,1000000,16.2285
776000,1000000,16.2282
781000,1000000,16.2282
786000,1000000,16.2317
791000,1000000,16.2313
796000,1000000,16.2298
801000,1000000,16.2281
806000,1000000,16.2313
811000,1000000,16.2271
816000,1000000,16.2297
821000,1000000,16.2303
826000,1000000,16.2281
831000,1000000,16.2273
836000,1000000,16.2262
841000,1000000,16.2226
846000,1000000,16.2317
851000,1000000,16.2292
856000,1000000,16.2296
861000,1000000,16.2350
866000,1000000,16.2270
871000,1000000,16.2299
876000,1000000,16.2291
881000,1000000,16.2365
886000,1000000,16.2297
891000,1000000,16.2295
896000,1000000,16.2241
901000,1000000,16.2302
906000,1000000,16.2299
911000,1000000,16.2290
916000,1000000,16.2295
921000,1000000,16.2329
926000,1000000,16.2313
931000,1000000,16.2325
936000,1000000,16.2312
941000,1000000,16.2301
946000,1000000,16.2331
951000,1000000,16.2315
956000,1000000,16.2327
961000,1000000,16.2273
966000,1000000,16.2331
971000,1000000,16.2316
976000,1000000,16.2272
981000,1000000,16.2319
986000,1000000,16.2233
991000,1000000,16.2269
996000,1000000,16.2255
