n,t,avg_depth
1000,100000,11.4240
6000,600000,15.1577
11000,1100000,16.4242
16000,1600000,17.2082
21000,2100000,17.7800
26000,2600000,18.2312
31000,3100000,18.5961
36000,3600000,18.9101
41000,4100000,19.1804
46000,4600000,19.4206
51000,5100000,19.6397
56000,5600000,19.8378
61000,6100000,20.0148
66000,6600000,20.1782
71000,7100000,20.3330
76000,7600000,20.4765
81000,8100000,20.6097
86000,8600000,20.7350
91000,9100000,20.8522
96000,9600000,20.9651
101000,1000000,21.0515
106000,1000000,21.0619
111000,1000000,21.0668
116000,1000000,21.0743
121000,1000000,21.0784
126000,1000000,21.0907
131000,1000000,21.0918
136000,1000000,21.0986
141000,1000000,21.1092
146000,1000000,21.1120
151000,1000000,21.1168
156000,1000000,21.1230
161000,1000000,21.1215
166000,1000000,21.1222
171000,1000000,21.1349
176000,1000000,21.1348
181000,1000000,21.1431
186000,1000000,21.1529
191000,1000000,21.1524
196000,1000000,21.1540
201000,1000000,21.1618
206000,1000000,21.1560
211000,1000000,21.1687
216000,1000000,21.1653
221000,1000000,21.1721
226000,1000000,21.1761
231000,1000000,21.1775
236000,1000000,21.1823
241000,1000000,21.1872
246000,1000000,21.1940
251000,1000000,21.1938
256000,1000000,21.2010
261000,1000000,21.1995
266000,1000000,21.2019
271000,1000000,21.2061
276000,1000000,21.2048
281000,1000000,21.2171
286000,1000000,21.2170
291000,1000000,21.2150
296000,1000000,21.2221
301000,1000000,21.2203
306000,1000000,21.2244
311000,1000000,21.2242
316000,1000000,21.2302
321000,1000000,21.2245
326000,1000000,21.2319
331000,1000000,21.2332
336000,1000000,21.2411
341000,1000000,21.2443
346000,1000000,21.2455
351000,1000000,21.2485
356000,1000000,21.2499
361000,1000000,21.2510
366000,1000000,21.2499
371000,1000000,21.2527
376000,1000000,21.2558
381000,1000000,21.2602
386000,1000000,21.2613
391000,1000000,21.2630
396000,1000000,21.2613
401000,1000000,21.2709
406000,1000000,21.2669
411000,1000000,21.2718
416000,1000000,21.2661
421000,1000000,21.2808
426000,1000000,21.2743
431000,1000000,21.2811
436000,1000000,21.2805
441000,1000000,21.2807
446000,1000000,21.2859
451000,1000000,21.2889
456000,1000000,21.2867
461000,1000000,21.2912
466000,1000000,21.2896
471000,1000000,21.2991
476000,1000000,21.3010
481000,1000000,21.2969
486000,1000000,21.3028
491000,1000000,21.3019
496000,1000000,21.3072
501000,1000000,21.3019
506000,1000000,21.3061
511000,1000000,21.3092
516000,1000000,21.3102
521000,1000000,21.3135
526000,1000000,21.3068
531000,1000000,21.3126
536000,1000000,21.3162
541000,1000000,21.3166
546000,1000000,21.3185
551000,1000000,21.3238
556000,1000000,21.3235
561000,1000000,21.3165
566000,1000000,21.3211
571000,1000000,21.3319
576000,1000000,21.3261
581000,1000000,21.3292
586000,1000000,21.3274
591000,1000000,21.3247
596000,1000000,21.3332
601000,1000000,21.3366
606000,1000000,21.3419
611000,1000000,21.3400
616000,1000000,21.3411
621000,1000000,21.3344
626000,1000000,21.3395
631000,1000000,21.3473
636000,1000000,21.3485
641000,1000000,21.3433
646000,1000000,21.3401
651000,1000000,21.3464
656000,1000000,21.3510
661000,1000000,21.3528
666000,1000000,21.3521
671000,1000000,21.3513
676000,1000000,21.3564
681000,1000000,21.3534
686000,1000000,21.3553
691000,1000000,21.3610
696000,1000000,21.3563
701000,1000000,21.3641
706000,1000000,21.3540
711000,1000000,21.3631
716000,1000000,21.3624
721000,1000000,21.3710
726000,1000000,21.3714
731000,1000000,21.3687
736000,1000000,21.3762
741000,1000000,21.3680
746000,1000000,21.3758
751000,1000000,21.3725
756000,1000000,21.3734
761000,1000000,21.3729
766000,1000000,21.3725
771000,1000000,21.3780
776000,1000000,21.3817
781000,1000000,21.3813
786000,1000000,21.3822
791000,1000000,21.3815
796000,1000000,21.3915
801000,1000000,21.3844
806000,1000000,21.3856
811000,1000000,21.3867
816000,1000000,21.3846
821000,1000000,21.3890
826000,1000000,21.3859
831000,1000000,21.3881
836000,1000000,21.3920
841000,1000000,21.3925
846000,1000000,21.3937
851000,1000000,21.3958
856000,1000000,21.4036
861000,1000000,21.4013
866000,1000000,21.3893
871000,1000000,21.3991
876000,1000000,21.3978
881000,1000000,21.4071
886000,1000000,21.4091
891000,1000000,21.4030
896000,1000000,21.4056
901000,1000000,21.4021
906000,1000000,21.4111
911000,1000000,21.4048
916000,1000000,21.4063
921000,1000000,21.4053
926000,1000000,21.4080
931000,1000000,21.4162
936000,1000000,21.4068
941000,1000000,21.4090
946000,1000000,21.4121
951000,1000000,21.4109
956000,1000000,21.4141
961000,1000000,21.4195
966000,1000000,21.4223
971000,1000000,21.4268
976000,1000000,21.4186
981000,1000000,21.4196
986000,1000000,21.4257
991000,1000000,21.4296
996000,1000000,21.4269
