n,t,avg_depth
1000,100000,11.4159
6000,100000,11.4064
11000,100000,11.4150
16000,100000,11.4099
21000,100000,11.4133
26000,100000,11.4119
31000,100000,11.4266
36000,100000,11.3990
41000,100000,11.4072
46000,100000,11.4071
51000,100000,11.4231
56000,100000,11.4114
61000,100000,11.4179
66000,100000,11.4155
71000,100000,11.4162
76000,100000,11.4202
81000,100000,11.4186
86000,100000,11.4089
91000,100000,11.4117
96000,100000,11.4210
101000,100000,11.4279
106000,100000,11.4176
111000,100000,11.4274
116000,100000,11.3886
121000,100000,11.4136
126000,100000,11.4266
131000,100000,11.4093
136000,100000,11.4169
141000,100000,11.4242
146000,100000,11.4045
151000,100000,11.4111
156000,100000,11.4216
161000,100000,11.4119
166000,100000,11.4165
171000,100000,11.4092
176000,100000,11.4166
181000,100000,11.4064
186000,100000,11.4096
191000,100000,11.4016
196000,100000,11.4203
201000,100000,11.4136
206000,100000,11.4035
211000,100000,11.4065
216000,100000,11.4223
221000,100000,11.4044
226000,100000,11.4229
231000,100000,11.4073
236000,100000,11.4302
241000,100000,11.4073
246000,100000,11.4280
251000,100000,11.4140
256000,100000,11.4133
261000,100000,11.4283
266000,100000,11.4141
271000,100000,11.4054
276000,100000,11.4192
281000,100000,11.4077
286000,100000,11.4181
291000,100000,11.4233
296000,100000,11.4206
301000,100000,11.4098
306000,100000,11.4206
311000,100000,11.4097
316000,100000,11.4135
321000,100000,11.4182
326000,100000,11.4199
331000,100000,11.4039
336000,100000,11.4125
341000,100000,11.4115
346000,100000,11.4236
351000,100000,11.4221
356000,100000,11.4093
361000,100000,11.4077
366000,100000,11.4212
371000,100000,11.4118
376000,100000,11.4052
381000,100000,11.4062
386000,100000,11.4233
391000,100000,11.4178
396000,100000,11.4277
401000,100000,11.4131
406000,100000,11.4202
411000,100000,11.4240
416000,100000,11.4277
421000,100000,11.4245
426000,100000,11.4238
431000,100000,11.4206
436000,100000,11.4107
441000,100000,11.4108
446000,100000,11.4131
451000,100000,11.4114
456000,100000,11.4207
461000,100000,11.4085
466000,100000,11.4150
471000,100000,11.4295
476000,100000,11.4294
481000,100000,11.4156
486000,100000,11.4275
491000,100000,11.4258
496000,100000,11.4262
501000,100000,11.4143
506000,100000,11.4160
511000,100000,11.4283
516000,100000,11.4226
521000,100000,11.4337
526000,100000,11.4084
531000,100000,11.4291
536000,100000,11.4242
541000,100000,11.4283
546000,100000,11.4218
551000,100000,11.4250
556000,100000,11.4231
561000,100000,11.4160
566000,100000,11.4137
571000,100000,11.4112
576000,100000,11.4129
581000,100000,11.4298
586000,100000,11.4113
591000,100000,11.4180
596000,100000,11.4308
601000,100000,11.4256
606000,100000,11.4152
611000,100000,11.4142
616000,100000,11.3975
621000,100000,11.4217
626000,100000,11.4253
631000,100000,11.4349
636000,100000,11.4318
641000,100000,11.4021
646000,100000,11.4280
651000,100000,11.4218
656000,100000,11.4154
661000,100000,11.4133
666000,100000,11.4210
671000,100000,11.4409
676000,100000,11.4189
681000,100000,11.4191
686000,100000,11.4158
691000,100000,11.4138
696000,100000,11.4222
701000,100000,11.4258
706000,100000,11.4169
711000,100000,11.4221
716000,100000,11.4243
721000,100000,11.3938
726000,100000,11.4206
731000,100000,11.4350
736000,100000,11.4246
741000,100000,11.4061
746000,100000,11.4184
751000,100000,11.4073
756000,100000,11.4094
761000,100000,11.4258
766000,100000,11.4154
771000,100000,11.4291
776000,100000,11.4069
781000,100000,11.4270
786000,100000,11.4244
791000,100000,11.4035
796000,100000,11.4154
801000,100000,11.4182
806000,100000,11.4295
811000,100000,11.4229
816000,100000,11.4226
821000,100000,11.4338
826000,100000,11.4219
831000,100000,11.4135
836000,100000,11.4236
841000,100000,11.4012
846000,100000,11.4177
851000,100000,11.4102
856000,100000,11.4182
861000,100000,11.4198
866000,100000,11.4200
871000,100000,11.4130
876000,100000,11.4231
881000,100000,11.4334
886000,100000,11.4329
891000,100000,11.4093
896000,100000,11.4304
901000,100000,11.4150
906000,100000,11.4256
911000,100000,11.4295
916000,100000,11.4354
921000,100000,11.4133
926000,100000,11.4044
931000,100000,11.3999
936000,100000,11.4279
941000,100000,11.4119
946000,100000,11.4236
951000,100000,11.4282
956000,100000,11.4101
961000,100000,11.4081
966000,100000,11.4379
971000,100000,11.3960
976000,100000,11.4140
981000,100000,11.4052
986000,100000,11.4203
991000,100000,11.3988
996000,100000,11.4254
