n,t,avg_path_length
1000,10000,2
6000,10000,2
11000,10000,2
16000,10000,2
21000,10000,2
26000,10000,2
31000,10000,2
36000,10000,2
41000,10000,2
46000,10000,2
51000,10000,2
56000,10000,2
61000,10000,2
66000,10000,2
71000,10000,2
76000,10000,2
81000,10000,3
86000,10000,3
91000,10000,2
96000,10000,2
101000,10000,2
106000,10000,2
111000,10000,2
116000,10000,2
121000,10000,2
126000,10000,2
131000,10000,3
136000,10000,3
141000,10000,2
146000,10000,2
151000,10000,3
156000,10000,3
161000,10000,2
166000,10000,3
171000,10000,3
176000,10000,3
181000,10000,2
186000,10000,3
191000,10000,3
196000,10000,2
201000,10000,2
206000,10000,3
211000,10000,3
216000,10000,4
221000,10000,3
226000,10000,3
231000,10000,4
236000,10000,3
241000,10000,4
246000,10000,3
251000,10000,2
256000,10000,2
261000,10000,4
266000,10000,4
271000,10000,5
276000,10000,4
281000,10000,3
286000,10000,4
291000,10000,4
296000,10000,3
301000,10000,3
306000,10000,2
311000,10000,3
316000,10000,5
321000,10000,2
326000,10000,5
331000,10000,3
336000,10000,2
341000,10000,5
346000,10000,3
351000,10000,2
356000,10000,4
361000,10000,5
366000,10000,3
371000,10000,5
376000,10000,4
381000,10000,3
386000,10000,5
391000,10000,4
396000,10000,2
401000,10000,2
406000,10000,4
411000,10000,3
416000,10000,4
421000,10000,5
426000,10000,4
431000,10000,4
436000,10000,4
441000,10000,5
446000,10000,3
451000,10000,5
456000,10000,8
461000,10000,4
466000,10000,4
471000,10000,4
476000,10000,3
481000,10000,5
486000,10000,6
491000,10000,3
496000,10000,5
501000,10000,2
506000,10000,4
511000,10000,4
516000,10000,7
521000,10000,4
526000,10000,4
531000,10000,4
536000,10000,2
541000,10000,2
546000,10000,2
551000,10000,3
556000,10000,5
561000,10000,4
566000,10000,7
571000,10000,9
576000,10000,4
581000,10000,4
586000,10000,4
591000,10000,6
596000,10000,4
601000,10000,4
606000,10000,4
611000,10000,7
616000,10000,7
621000,10000,6
626000,10000,6
631000,10000,6
636000,10000,5
641000,10000,6
646000,10000,3
651000,10000,8
656000,10000,2
661000,10000,4
666000,10000,4
671000,10000,4
676000,10000,5
681000,10000,7
686000,10000,4
691000,10000,8
696000,10000,2
701000,10000,7
706000,10000,3
711000,10000,8
716000,10000,8
721000,10000,5
726000,10000,5
731000,10000,7
736000,10000,4
741000,10000,7
746000,10000,5
751000,10000,9
756000,10000,6
761000,10000,5
766000,10000,4
771000,10000,3
776000,10000,2
781000,10000,5
786000,10000,8
791000,10000,5
796000,10000,3
801000,10000,7
806000,10000,7
811000,10000,8
816000,10000,6
821000,10000,7
826000,10000,4
831000,10000,7
836000,10000,5
841000,10000,6
846000,10000,10
851000,10000,7
856000,10000,3
861000,10000,3
866000,10000,4
871000,10000,12
876000,10000,11
881000,10000,6
886000,10000,9
891000,10000,9
896000,10000,3
901000,10000,4
906000,10000,8
911000,10000,7
916000,10000,7
921000,10000,2
926000,10000,4
931000,10000,14
936000,10000,5
941000,10000,5
946000,10000,5
951000,10000,6
956000,10000,7
961000,10000,4
966000,10000,14
971000,10000,4
976000,10000,2
981000,10000,9
986000,10000,6
991000,10000,8
996000,10000,16
