n,t,avg_path_length
1000,100000,10
6000,100000,10
11000,100000,11
16000,100000,10
21000,100000,10
26000,100000,10
31000,100000,10
36000,100000,10
41000,100000,10
46000,100000,10
51000,100000,10
56000,100000,10
61000,100000,10
66000,100000,10
71000,100000,10
76000,100000,10
81000,100000,10
86000,100000,10
91000,100000,10
96000,100000,10
101000,100000,11
106000,100000,10
111000,100000,10
116000,100000,10
121000,100000,10
126000,100000,10
131000,100000,10
136000,100000,10
141000,100000,10
146000,100000,10
151000,100000,10
156000,100000,10
161000,100000,10
166000,100000,10
171000,100000,10
176000,100000,10
181000,100000,10
186000,100000,10
191000,100000,10
196000,100000,10
201000,100000,10
206000,100000,10
211000,100000,10
216000,100000,10
221000,100000,10
226000,100000,10
231000,100000,10
236000,100000,10
241000,100000,10
246000,100000,10
251000,100000,10
256000,100000,10
261000,100000,10
266000,100000,10
271000,100000,10
276000,100000,10
281000,100000,10
286000,100000,10
291000,100000,10
296000,100000,10
301000,100000,10
306000,100000,10
311000,100000,10
316000,100000,10
321000,100000,10
326000,100000,10
331000,100000,10
336000,100000,10
341000,100000,10
346000,100000,10
351000,100000,10
356000,100000,10
361000,100000,10
366000,100000,10
371000,100000,10
376000,100000,10
381000,100000,10
386000,100000,10
391000,100000,10
396000,100000,10
401000,100000,10
406000,100000,10
411000,100000,10
416000,100000,10
421000,100000,10
426000,100000,10
431000,100000,10
436000,100000,10
441000,100000,10
446000,100000,10
451000,100000,10
456000,100000,10
461000,100000,10
466000,100000,10
471000,100000,10
476000,100000,10
481000,100000,10
486000,100000,10
491000,100000,10
496000,100000,10
501000,100000,10
506000,100000,10
511000,100000,10
516000,100000,10
521000,100000,10
526000,100000,10
531000,100000,10
536000,100000,10
541000,100000,10
546000,100000,10
551000,100000,10
556000,100000,10
561000,100000,10
566000,100000,10
571000,100000,10
576000,100000,10
581000,100000,10
586000,100000,10
591000,100000,10
596000,100000,10
601000,100000,10
606000,100000,10
611000,100000,10
616000,100000,10
621000,100000,10
626000,100000,10
631000,100000,10
636000,100000,11
641000,100000,10
646000,100000,10
651000,100000,10
656000,100000,10
661000,100000,10
666000,100000,10
671000,100000,11
676000,100000,10
681000,100000,10
686000,100000,10
691000,100000,10
696000,100000,10
701000,100000,10
706000,100000,11
711000,100000,10
716000,100000,10
721000,100000,10
726000,100000,10
731000,100000,10
736000,100000,10
741000,100000,10
746000,100000,10
751000,100000,10
756000,100000,10
761000,100000,10
766000,100000,10
771000,100000,10
776000,100000,10
781000,100000,10
786000,100000,10
791000,100000,10
796000,100000,10
801000,100000,10
806000,100000,10
811000,100000,10
816000,100000,10
821000,100000,11
826000,100000,10
831000,100000,10
836000,100000,10
841000,100000,10
846000,100000,10
851000,100000,10
856000,100000,10
861000,100000,10
866000,100000,10
871000,100000,10
876000,100000,10
881000,100000,10
886000,100000,11
891000,100000,10
896000,100000,11
901000,100000,10
906000,100000,10
911000,100000,10
916000,100000,11
921000,100000,10
926000,100000,10
931000,100000,10
936000,100000,10
941000,100000,10
946000,100000,10
951000,100000,10
956000,100000,10
961000,100000,10
966000,100000,10
971000,100000,10
976000,100000,10
981000,100000,10
986000,100000,10
991000,100000,10
996000,100000,10
