n,t,avg_path_length
1000,100000,6
6000,100000,6
11000,100000,6
16000,100000,6
21000,100000,6
26000,100000,6
31000,100000,6
36000,100000,6
41000,100000,6
46000,100000,6
51000,100000,6
56000,100000,6
61000,100000,6
66000,100000,6
71000,100000,6
76000,100000,6
81000,100000,6
86000,100000,6
91000,100000,6
96000,100000,6
101000,100000,6
106000,100000,6
111000,100000,6
116000,100000,6
121000,100000,6
126000,100000,6
131000,100000,6
136000,100000,6
141000,100000,6
146000,100000,6
151000,100000,6
156000,100000,6
161000,100000,6
166000,100000,7
171000,100000,6
176000,100000,6
181000,100000,7
186000,100000,6
191000,100000,6
196000,100000,6
201000,100000,7
206000,100000,7
211000,100000,7
216000,100000,6
221000,100000,7
226000,100000,7
231000,100000,7
236000,100000,7
241000,100000,7
246000,100000,7
251000,100000,7
256000,100000,7
261000,100000,7
266000,100000,7
271000,100000,6
276000,100000,7
281000,100000,7
286000,100000,7
291000,100000,7
296000,100000,7
301000,100000,6
306000,100000,7
311000,100000,7
316000,100000,7
321000,100000,7
326000,100000,7
331000,100000,7
336000,100000,7
341000,100000,7
346000,100000,7
351000,100000,7
356000,100000,7
361000,100000,7
366000,100000,7
371000,100000,7
376000,100000,7
381000,100000,7
386000,100000,7
391000,100000,7
396000,100000,7
401000,100000,7
406000,100000,8
411000,100000,7
416000,100000,7
421000,100000,7
426000,100000,7
431000,100000,7
436000,100000,7
441000,100000,8
446000,100000,8
451000,100000,7
456000,100000,7
461000,100000,7
466000,100000,7
471000,100000,7
476000,100000,7
481000,100000,7
486000,100000,7
491000,100000,8
496000,100000,7
501000,100000,7
506000,100000,7
511000,100000,7
516000,100000,7
521000,100000,8
526000,100000,7
531000,100000,7
536000,100000,8
541000,100000,7
546000,100000,8
551000,100000,7
556000,100000,7
561000,100000,7
566000,100000,7
571000,100000,7
576000,100000,7
581000,100000,8
586000,100000,8
591000,100000,7
596000,100000,8
601000,100000,7
606000,100000,8
611000,100000,7
616000,100000,7
621000,100000,7
626000,100000,7
631000,100000,7
636000,100000,7
641000,100000,8
646000,100000,8
651000,100000,7
656000,100000,8
661000,100000,8
666000,100000,8
671000,100000,8
676000,100000,8
681000,100000,7
686000,100000,8
691000,100000,7
696000,100000,7
701000,100000,8
706000,100000,7
711000,100000,8
716000,100000,8
721000,100000,8
726000,100000,8
731000,100000,8
736000,100000,8
741000,100000,7
746000,100000,8
751000,100000,8
756000,100000,9
761000,100000,8
766000,100000,8
771000,100000,8
776000,100000,8
781000,100000,8
786000,100000,7
791000,100000,8
796000,100000,9
801000,100000,8
806000,100000,9
811000,100000,8
816000,100000,8
821000,100000,8
826000,100000,8
831000,100000,8
836000,100000,9
841000,100000,8
846000,100000,8
851000,100000,8
856000,100000,8
861000,100000,8
866000,100000,8
871000,100000,9
876000,100000,9
881000,100000,8
886000,100000,7
891000,100000,8
896000,100000,9
901000,100000,8
906000,100000,7
911000,100000,9
916000,100000,9
921000,100000,8
926000,100000,9
931000,100000,8
936000,100000,9
941000,100000,8
946000,100000,8
951000,100000,7
956000,100000,8
961000,100000,9
966000,100000,8
971000,100000,8
976000,100000,8
981000,100000,8
986000,100000,9
991000,100000,8
996000,100000,9
