n,t,avg_path_length
1000,100000,10
6000,100000,11
11000,100000,11
16000,100000,11
21000,100000,11
26000,100000,11
31000,100000,11
36000,100000,11
41000,100000,11
46000,100000,11
51000,100000,11
56000,100000,11
61000,100000,11
66000,100000,11
71000,100000,11
76000,100000,11
81000,100000,11
86000,100000,11
91000,100000,11
96000,100000,11
101000,100000,11
106000,100000,11
111000,100000,11
116000,100000,11
121000,100000,11
126000,100000,11
131000,100000,12
136000,100000,12
141000,100000,11
146000,100000,11
151000,100000,11
156000,100000,12
161000,100000,12
166000,100000,12
171000,100000,12
176000,100000,12
181000,100000,12
186000,100000,12
191000,100000,12
196000,100000,12
201000,100000,12
206000,100000,12
211000,100000,12
216000,100000,12
221000,100000,12
226000,100000,12
231000,100000,12
236000,100000,12
241000,100000,12
246000,100000,12
251000,100000,12
256000,100000,12
261000,100000,12
266000,100000,12
271000,100000,12
276000,100000,12
281000,100000,12
286000,100000,12
291000,100000,12
296000,100000,13
301000,100000,12
306000,100000,13
311000,100000,13
316000,100000,13
321000,100000,13
326000,100000,13
331000,100000,13
336000,100000,12
341000,100000,13
346000,100000,13
351000,100000,13
356000,100000,13
361000,100000,13
366000,100000,13
371000,100000,13
376000,100000,13
381000,100000,13
386000,100000,13
391000,100000,13
396000,100000,13
401000,100000,13
406000,100000,13
411000,100000,13
416000,100000,13
421000,100000,13
426000,100000,13
431000,100000,13
436000,100000,13
441000,100000,14
446000,100000,14
451000,100000,14
456000,100000,13
461000,100000,13
466000,100000,14
471000,100000,14
476000,100000,14
481000,100000,14
486000,100000,14
491000,100000,14
496000,100000,14
501000,100000,13
506000,100000,14
511000,100000,14
516000,100000,14
521000,100000,14
526000,100000,14
531000,100000,14
536000,100000,14
541000,100000,14
546000,100000,14
551000,100000,14
556000,100000,14
561000,100000,14
566000,100000,14
571000,100000,14
576000,100000,14
581000,100000,14
586000,100000,14
591000,100000,14
596000,100000,14
601000,100000,14
606000,100000,14
611000,100000,14
616000,100000,14
621000,100000,14
626000,100000,14
631000,100000,14
636000,100000,14
641000,100000,14
646000,100000,15
651000,100000,14
656000,100000,15
661000,100000,15
666000,100000,15
671000,100000,14
676000,100000,15
681000,100000,15
686000,100000,15
691000,100000,15
696000,100000,15
701000,100000,15
706000,100000,15
711000,100000,15
716000,100000,15
721000,100000,15
726000,100000,15
731000,100000,15
736000,100000,15
741000,100000,16
746000,100000,15
751000,100000,16
756000,100000,16
761000,100000,15
766000,100000,15
771000,100000,15
776000,100000,16
781000,100000,16
786000,100000,16
791000,100000,15
796000,100000,16
801000,100000,15
806000,100000,15
811000,100000,16
816000,100000,15
821000,100000,16
826000,100000,16
831000,100000,15
836000,100000,16
841000,100000,15
846000,100000,17
851000,100000,16
856000,100000,16
861000,100000,16
866000,100000,16
871000,100000,16
876000,100000,16
881000,100000,15
886000,100000,16
891000,100000,16
896000,100000,16
901000,100000,16
906000,100000,17
911000,100000,16
916000,100000,17
921000,100000,17
926000,100000,17
931000,100000,16
936000,100000,16
941000,100000,17
946000,100000,16
951000,100000,17
956000,100000,16
961000,100000,18
966000,100000,16
971000,100000,16
976000,100000,17
981000,100000,16
986000,100000,17
991000,100000,16
996000,100000,17
