n,t,avg_path_length
1000,100000,10
6000,600000,14
11000,1100000,15
16000,1600000,16
21000,2100000,17
26000,2600000,17
31000,3100000,17
36000,3600000,18
41000,4100000,18
46000,4600000,18
51000,5100000,18
56000,5600000,19
61000,6100000,19
66000,6600000,19
71000,7100000,19
76000,7600000,19
81000,8100000,19
86000,8600000,19
91000,9100000,20
96000,9600000,20
101000,1000000,20
106000,1000000,20
111000,1000000,20
116000,1000000,20
121000,1000000,20
126000,1000000,20
131000,1000000,20
136000,1000000,20
141000,1000000,20
146000,1000000,20
151000,1000000,20
156000,1000000,20
161000,1000000,20
166000,1000000,20
171000,1000000,20
176000,1000000,20
181000,1000000,20
186000,1000000,20
191000,1000000,20
196000,1000000,20
201000,1000000,20
206000,1000000,20
211000,1000000,20
216000,1000000,20
221000,1000000,20
226000,1000000,20
231000,1000000,20
236000,1000000,20
241000,1000000,20
246000,1000000,20
251000,1000000,20
256000,1000000,20
261000,1000000,20
266000,1000000,20
271000,1000000,20
276000,1000000,20
281000,1000000,20
286000,1000000,20
291000,1000000,20
296000,1000000,20
301000,1000000,20
306000,1000000,20
311000,1000000,20
316000,1000000,20
321000,1000000,20
326000,1000000,20
331000,1000000,20
336000,1000000,20
341000,1000000,20
346000,1000000,20
351000,1000000,20
356000,1000000,20
361000,1000000,20
366000,1000000,20
371000,1000000,20
376000,1000000,20
381000,1000000,20
386000,1000000,20
391000,1000000,20
396000,1000000,20
401000,1000000,20
406000,1000000,20
411000,1000000,20
416000,1000000,20
421000,1000000,20
426000,1000000,20
431000,1000000,20
436000,1000000,20
441000,1000000,20
446000,1000000,20
451000,1000000,20
456000,1000000,20
461000,1000000,20
466000,1000000,20
471000,1000000,20
476000,1000000,20
481000,1000000,21
486000,1000000,20
491000,1000000,21
496000,1000000,21
501000,1000000,21
506000,1000000,21
511000,1000000,21
516000,1000000,21
521000,1000000,21
526000,1000000,21
531000,1000000,21
536000,1000000,21
541000,1000000,21
546000,1000000,21
551000,1000000,21
556000,1000000,21
561000,1000000,21
566000,1000000,21
571000,1000000,21
576000,1000000,21
581000,1000000,21
586000,1000000,21
591000,1000000,21
596000,1000000,21
601000,1000000,21
606000,1000000,21
611000,1000000,21
616000,1000000,21
621000,1000000,21
626000,1000000,21
631000,1000000,21
636000,1000000,21
641000,1000000,21
646000,1000000,21
651000,1000000,21
656000,1000000,21
661000,1000000,21
666000,1000000,21
671000,1000000,21
676000,1000000,21
681000,1000000,21
686000,1000000,21
691000,1000000,21
696000,1000000,21
701000,1000000,21
706000,1000000,21
711000,1000000,21
716000,1000000,21
721000,1000000,21
726000,1000000,21
731000,1000000,21
736000,1000000,21
741000,1000000,21
746000,1000000,21
751000,1000000,21
756000,1000000,21
761000,1000000,21
766000,1000000,21
771000,1000000,21
776000,1000000,21
781000,1000000,21
786000,1000000,21
791000,1000000,21
796000,1000000,21
801000,1000000,21
806000,1000000,21
811000,1000000,21
816000,1000000,21
821000,1000000,21
826000,1000000,21
831000,1000000,21
836000,1000000,21
841000,1000000,21
846000,1000000,21
851000,1000000,21
856000,1000000,21
861000,1000000,21
866000,1000000,21
871000,1000000,21
876000,1000000,21
881000,1000000,21
886000,1000000,21
891000,1000000,21
896000,1000000,21
901000,1000000,21
906000,1000000,21
911000,1000000,21
916000,1000000,21
921000,1000000,21
926000,1000000,21
931000,1000000,21
936000,1000000,21
941000,1000000,21
946000,1000000,21
951000,1000000,21
956000,1000000,21
961000,1000000,21
966000,1000000,21
971000,1000000,21
976000,1000000,21
981000,1000000,21
986000,1000000,21
991000,1000000,21
996000,1000000,21
