n,t,avg_path_length
1000,100000,6
6000,100000,6
11000,100000,6
16000,100000,6
21000,100000,6
26000,100000,6
31000,100000,6
36000,100000,6
41000,100000,6
46000,100000,6
51000,100000,6
56000,100000,6
61000,100000,6
66000,100000,6
71000,100000,6
76000,100000,6
81000,100000,6
86000,100000,6
91000,100000,6
96000,100000,6
101000,100000,6
106000,100000,6
111000,100000,6
116000,100000,6
121000,100000,6
126000,100000,6
131000,100000,6
136000,100000,6
141000,100000,6
146000,100000,6
151000,100000,6
156000,100000,6
161000,100000,6
166000,100000,6
171000,100000,6
176000,100000,6
181000,100000,6
186000,100000,6
191000,100000,6
196000,100000,6
201000,100000,6
206000,100000,6
211000,100000,6
216000,100000,6
221000,100000,6
226000,100000,6
231000,100000,6
236000,100000,6
241000,100000,6
246000,100000,6
251000,100000,6
256000,100000,6
261000,100000,6
266000,100000,6
271000,100000,6
276000,100000,6
281000,100000,6
286000,100000,6
291000,100000,6
296000,100000,6
301000,100000,6
306000,100000,6
311000,100000,6
316000,100000,6
321000,100000,6
326000,100000,6
331000,100000,6
336000,100000,6
341000,100000,6
346000,100000,6
351000,100000,6
356000,100000,6
361000,100000,6
366000,100000,6
371000,100000,6
376000,100000,6
381000,100000,6
386000,100000,6
391000,100000,6
396000,100000,6
401000,100000,6
406000,100000,6
411000,100000,6
416000,100000,6
421000,100000,6
426000,100000,6
431000,100000,6
436000,100000,6
441000,100000,6
446000,100000,6
451000,100000,6
456000,100000,6
461000,100000,6
466000,100000,6
471000,100000,6
476000,100000,6
481000,100000,6
486000,100000,6
491000,100000,6
496000,100000,6
501000,100000,6
506000,100000,6
511000,100000,6
516000,100000,6
521000,100000,6
526000,100000,6
531000,100000,6
536000,100000,6
541000,100000,6
546000,100000,6
551000,100000,6
556000,100000,6
561000,100000,6
566000,100000,6
571000,100000,6
576000,100000,6
581000,100000,6
586000,100000,6
591000,100000,6
596000,100000,6
601000,100000,6
606000,100000,6
611000,100000,6
616000,100000,6
621000,100000,6
626000,100000,6
631000,100000,6
636000,100000,6
641000,100000,6
646000,100000,6
651000,100000,6
656000,100000,6
661000,100000,6
666000,100000,6
671000,100000,6
676000,100000,6
681000,100000,6
686000,100000,6
691000,100000,6
696000,100000,6
701000,100000,6
706000,100000,6
711000,100000,6
716000,100000,6
721000,100000,6
726000,100000,6
731000,100000,6
736000,100000,6
741000,100000,6
746000,100000,6
751000,100000,6
756000,100000,6
761000,100000,6
766000,100000,6
771000,100000,6
776000,100000,6
781000,100000,6
786000,100000,6
791000,100000,6
796000,100000,6
801000,100000,6
806000,100000,6
811000,100000,6
816000,100000,6
821000,100000,6
826000,100000,6
831000,100000,6
836000,100000,6
841000,100000,6
846000,100000,6
851000,100000,6
856000,100000,6
861000,100000,6
866000,100000,6
871000,100000,6
876000,100000,6
881000,100000,6
886000,100000,6
891000,100000,6
896000,100000,6
901000,100000,6
906000,100000,6
911000,100000,6
916000,100000,6
921000,100000,6
926000,100000,6
931000,100000,6
936000,100000,6
941000,100000,6
946000,100000,6
951000,100000,6
956000,100000,6
961000,100000,6
966000,100000,6
971000,100000,6
976000,100000,6
981000,100000,6
986000,100000,6
991000,100000,6
996000,100000,6
