n,depth
1000,2.5262
6000,2.5330
11000,2.5202
16000,2.4973
21000,2.5711
26000,2.5235
31000,2.5097
36000,2.5421
41000,2.5078
46000,2.5395
51000,2.5167
56000,2.5434
61000,2.5328
66000,2.5355
71000,2.5534
76000,2.5405
81000,2.5352
86000,2.5100
91000,2.5191
96000,2.5246
101000,2.4934
106000,2.5076
111000,2.5237
116000,2.5048
121000,2.5155
126000,2.5007
131000,2.5375
136000,2.5653
141000,2.5368
146000,2.5229
151000,2.5636
156000,2.5057
161000,2.5393
166000,2.5251
171000,2.5325
176000,2.5173
181000,2.5301
186000,2.5332
191000,2.5762
196000,2.5140
201000,2.5168
206000,2.5295
211000,2.5364
216000,2.5175
221000,2.5249
226000,2.5191
231000,2.5403
236000,2.5232
241000,2.5793
246000,2.5454
251000,2.5304
256000,2.5232
261000,2.5623
266000,2.5164
271000,2.5197
276000,2.5374
281000,2.5429
286000,2.5485
291000,2.5299
296000,2.5079
301000,2.5341
306000,2.5216
311000,2.5479
316000,2.5602
321000,2.5364
326000,2.5329
331000,2.5253
336000,2.5246
341000,2.5523
346000,2.5970
351000,2.5114
356000,2.5389
361000,2.5584
366000,2.5384
371000,2.5138
376000,2.5155
381000,2.5323
386000,2.5532
391000,2.5287
396000,2.4982
401000,2.4796
406000,2.5570
411000,2.5251
416000,2.5197
421000,2.5093
426000,2.5359
431000,2.4989
436000,2.5134
441000,2.5587
446000,2.5128
451000,2.5142
456000,2.5578
461000,2.5409
466000,2.5053
471000,2.5394
476000,2.5312
481000,2.5388
486000,2.5405
491000,2.5115
496000,2.5582
501000,2.5367
506000,2.5555
511000,2.5765
516000,2.5367
521000,2.5225
526000,2.5705
531000,2.5461
536000,2.5288
541000,2.5141
546000,2.5315
551000,2.5672
556000,2.5413
561000,2.5521
566000,2.5683
571000,2.5714
576000,2.5137
581000,2.5381
586000,2.5210
591000,2.5442
596000,2.5309
601000,2.5310
606000,2.5420
611000,2.5458
616000,2.5139
621000,2.5350
626000,2.5411
631000,2.5152
636000,2.5312
641000,2.5304
646000,2.5123
651000,2.5810
656000,2.5195
661000,2.5284
666000,2.5482
671000,2.5128
676000,2.5126
681000,2.5638
686000,2.5338
691000,2.5407
696000,2.5404
701000,2.5274
706000,2.5366
711000,2.5230
716000,2.5552
721000,2.5299
726000,2.5129
731000,2.5880
736000,2.5436
741000,2.5232
746000,2.5000
751000,2.5656
756000,2.5436
761000,2.5094
766000,2.5523
771000,2.5391
776000,2.5119
781000,2.5586
786000,2.5162
791000,2.5021
796000,2.5226
801000,2.5357
806000,2.5244
811000,2.5338
816000,2.5504
821000,2.5533
826000,2.5285
831000,2.5874
836000,2.5292
841000,2.5296
846000,2.5716
851000,2.5451
856000,2.5371
861000,2.5148
866000,2.5812
871000,2.5287
876000,2.6205
881000,2.5366
886000,2.5341
891000,2.5255
896000,2.5089
901000,2.5292
906000,2.5666
911000,2.5200
916000,2.5444
921000,2.5140
926000,2.5238
931000,2.5552
936000,2.5105
941000,2.5139
946000,2.5162
951000,2.5442
956000,2.5239
961000,2.5354
966000,2.5854
971000,2.5509
976000,2.5417
981000,2.5292
986000,2.5221
991000,2.5385
996000,2.6456
