n,depth
1000,11.4240
6000,15.1577
11000,16.4242
16000,17.2082
21000,17.7800
26000,18.2312
31000,18.5961
36000,18.9101
41000,19.1804
46000,19.4206
51000,19.6397
56000,19.8378
61000,20.0148
66000,20.1782
71000,20.3330
76000,20.4765
81000,20.6097
86000,20.7350
91000,20.8522
96000,20.9651
101000,21.0515
106000,21.0619
111000,21.0668
116000,21.0743
121000,21.0784
126000,21.0907
131000,21.0918
136000,21.0986
141000,21.1092
146000,21.1120
151000,21.1168
156000,21.1230
161000,21.1215
166000,21.1222
171000,21.1349
176000,21.1348
181000,21.1431
186000,21.1529
191000,21.1524
196000,21.1540
201000,21.1618
206000,21.1560
211000,21.1687
216000,21.1653
221000,21.1721
226000,21.1761
231000,21.1775
236000,21.1823
241000,21.1872
246000,21.1940
251000,21.1938
256000,21.2010
261000,21.1995
266000,21.2019
271000,21.2061
276000,21.2048
281000,21.2171
286000,21.2170
291000,21.2150
296000,21.2221
301000,21.2203
306000,21.2244
311000,21.2242
316000,21.2302
321000,21.2245
326000,21.2319
331000,21.2332
336000,21.2411
341000,21.2443
346000,21.2455
351000,21.2485
356000,21.2499
361000,21.2510
366000,21.2499
371000,21.2527
376000,21.2558
381000,21.2602
386000,21.2613
391000,21.2630
396000,21.2613
401000,21.2709
406000,21.2669
411000,21.2718
416000,21.2661
421000,21.2808
426000,21.2743
431000,21.2811
436000,21.2805
441000,21.2807
446000,21.2859
451000,21.2889
456000,21.2867
461000,21.2912
466000,21.2896
471000,21.2991
476000,21.3010
481000,21.2969
486000,21.3028
491000,21.3019
496000,21.3072
501000,21.3019
506000,21.3061
511000,21.3092
516000,21.3102
521000,21.3135
526000,21.3068
531000,21.3126
536000,21.3162
541000,21.3166
546000,21.3185
551000,21.3238
556000,21.3235
561000,21.3165
566000,21.3211
571000,21.3319
576000,21.3261
581000,21.3292
586000,21.3274
591000,21.3247
596000,21.3332
601000,21.3366
606000,21.3419
611000,21.3400
616000,21.3411
621000,21.3344
626000,21.3395
631000,21.3473
636000,21.3485
641000,21.3433
646000,21.3401
651000,21.3464
656000,21.3510
661000,21.3528
666000,21.3521
671000,21.3513
676000,21.3564
681000,21.3534
686000,21.3553
691000,21.3610
696000,21.3563
701000,21.3641
706000,21.3540
711000,21.3631
716000,21.3624
721000,21.3710
726000,21.3714
731000,21.3687
736000,21.3762
741000,21.3680
746000,21.3758
751000,21.3725
756000,21.3734
761000,21.3729
766000,21.3725
771000,21.3780
776000,21.3817
781000,21.3813
786000,21.3822
791000,21.3815
796000,21.3915
801000,21.3844
806000,21.3856
811000,21.3867
816000,21.3846
821000,21.3890
826000,21.3859
831000,21.3881
836000,21.3920
841000,21.3925
846000,21.3937
851000,21.3958
856000,21.4036
861000,21.4013
866000,21.3893
871000,21.3991
876000,21.3978
881000,21.4071
886000,21.4091
891000,21.4030
896000,21.4056
901000,21.4021
906000,21.4111
911000,21.4048
916000,21.4063
921000,21.4053
926000,21.4080
931000,21.4162
936000,21.4068
941000,21.4090
946000,21.4121
951000,21.4109
956000,21.4141
961000,21.4195
966000,21.4223
971000,21.4268
976000,21.4186
981000,21.4196
986000,21.4257
991000,21.4296
996000,21.4269
