n,depth
1000,11.4240
6000,15.1577
11000,16.2255
16000,16.2353
21000,16.2338
26000,16.2428
31000,16.2452
36000,16.2493
41000,16.2520
46000,16.2575
51000,16.2489
56000,16.2548
61000,16.2539
66000,16.2570
71000,16.2546
76000,16.2548
81000,16.2605
86000,16.2631
91000,16.2607
96000,16.2601
101000,16.2661
106000,16.2703
111000,16.2676
116000,16.2641
121000,16.2743
126000,16.2695
131000,16.2741
136000,16.2678
141000,16.2694
146000,16.2757
151000,16.2651
156000,16.2736
161000,16.2694
166000,16.2747
171000,16.2777
176000,16.2778
181000,16.2750
186000,16.2746
191000,16.2701
196000,16.2783
201000,16.2771
206000,16.2713
211000,16.2788
216000,16.2751
221000,16.2742
226000,16.2755
231000,16.2858
236000,16.2754
241000,16.2780
246000,16.2863
251000,16.2784
256000,16.2818
261000,16.2834
266000,16.2806
271000,16.2840
276000,16.2846
281000,16.2786
286000,16.2790
291000,16.2811
296000,16.2863
301000,16.2822
306000,16.2846
311000,16.2850
316000,16.2884
321000,16.2846
326000,16.2873
331000,16.2886
336000,16.2841
341000,16.2814
346000,16.2921
351000,16.2869
356000,16.2857
361000,16.2912
366000,16.2885
371000,16.2862
376000,16.2891
381000,16.2887
386000,16.2897
391000,16.2896
396000,16.2964
401000,16.2937
406000,16.2904
411000,16.2894
416000,16.2917
421000,16.2888
426000,16.2929
431000,16.2924
436000,16.2909
441000,16.2928
446000,16.2931
451000,16.2911
456000,16.2908
461000,16.2916
466000,16.2932
471000,16.2961
476000,16.2951
481000,16.2967
486000,16.2947
491000,16.2901
496000,16.2972
501000,16.2902
506000,16.2990
511000,16.2968
516000,16.3021
521000,16.2972
526000,16.2961
531000,16.2917
536000,16.2978
541000,16.3053
546000,16.2988
551000,16.2976
556000,16.2970
561000,16.2956
566000,16.2904
571000,16.2958
576000,16.2973
581000,16.2968
586000,16.3006
591000,16.2951
596000,16.3004
601000,16.2971
606000,16.2983
611000,16.3034
616000,16.2952
621000,16.2973
626000,16.2920
631000,16.3038
636000,16.2967
641000,16.3000
646000,16.2980
651000,16.3000
656000,16.3046
661000,16.3004
666000,16.3013
671000,16.3018
676000,16.3012
681000,16.3045
686000,16.3028
691000,16.3046
696000,16.3075
701000,16.2971
706000,16.3037
711000,16.3011
716000,16.3032
721000,16.3063
726000,16.3000
731000,16.3036
736000,16.3010
741000,16.3031
746000,16.3045
751000,16.3023
756000,16.2949
761000,16.3054
766000,16.3015
771000,16.3102
776000,16.3049
781000,16.3057
786000,16.2996
791000,16.3030
796000,16.3110
801000,16.2987
806000,16.3051
811000,16.3041
816000,16.3074
821000,16.3037
826000,16.3004
831000,16.3024
836000,16.3064
841000,16.3018
846000,16.3085
851000,16.3014
856000,16.3027
861000,16.3030
866000,16.3053
871000,16.3124
876000,16.3103
881000,16.3051
886000,16.3065
891000,16.3052
896000,16.3094
901000,16.3079
906000,16.3043
911000,16.3118
916000,16.3074
921000,16.3090
926000,16.3052
931000,16.3108
936000,16.3057
941000,16.3067
946000,16.3076
951000,16.3006
956000,16.3120
961000,16.3039
966000,16.3050
971000,16.3075
976000,16.3070
981000,16.3064
986000,16.3073
991000,16.3081
996000,16.3073
