n,depth
1000,6.7032
6000,6.7199
11000,6.7210
16000,6.7094
21000,6.7049
26000,6.7149
31000,6.6988
36000,6.7084
41000,6.7153
46000,6.7235
51000,6.7159
56000,6.7178
61000,6.7088
66000,6.7346
71000,6.7151
76000,6.7073
81000,6.7032
86000,6.7126
91000,6.7106
96000,6.7283
101000,6.7111
106000,6.7019
111000,6.7214
116000,6.7073
121000,6.7161
126000,6.6981
131000,6.7159
136000,6.7042
141000,6.7173
146000,6.7056
151000,6.7220
156000,6.7219
161000,6.7153
166000,6.7235
171000,6.7152
176000,6.7036
181000,6.7076
186000,6.7122
191000,6.7425
196000,6.7240
201000,6.7061
206000,6.7176
211000,6.7142
216000,6.7127
221000,6.7213
226000,6.7177
231000,6.7200
236000,6.7118
241000,6.7070
246000,6.7153
251000,6.7254
256000,6.7138
261000,6.7159
266000,6.7250
271000,6.7214
276000,6.7155
281000,6.7152
286000,6.7283
291000,6.7261
296000,6.7242
301000,6.7089
306000,6.7326
311000,6.7189
316000,6.7160
321000,6.7109
326000,6.7139
331000,6.7311
336000,6.7071
341000,6.7141
346000,6.7226
351000,6.7220
356000,6.7219
361000,6.7128
366000,6.7162
371000,6.7243
376000,6.7152
381000,6.7218
386000,6.7232
391000,6.7210
396000,6.7121
401000,6.7235
406000,6.7188
411000,6.7260
416000,6.7175
421000,6.7299
426000,6.7265
431000,6.7255
436000,6.7163
441000,6.7261
446000,6.7244
451000,6.7248
456000,6.7193
461000,6.7174
466000,6.7181
471000,6.7237
476000,6.7220
481000,6.7176
486000,6.7182
491000,6.7151
496000,6.7272
501000,6.7241
506000,6.7248
511000,6.7213
516000,6.7304
521000,6.7386
526000,6.7183
531000,6.7211
536000,6.7119
541000,6.7150
546000,6.7215
551000,6.7105
556000,6.7214
561000,6.7239
566000,6.7095
571000,6.7200
576000,6.7101
581000,6.7097
586000,6.7178
591000,6.7142
596000,6.7189
601000,6.7254
606000,6.7330
611000,6.7118
616000,6.7128
621000,6.7275
626000,6.7453
631000,6.7266
636000,6.7170
641000,6.7247
646000,6.7234
651000,6.7110
656000,6.7288
661000,6.7267
666000,6.7267
671000,6.7274
676000,6.7266
681000,6.7106
686000,6.7093
691000,6.7148
696000,6.7164
701000,6.7169
706000,6.7299
711000,6.7313
716000,6.7137
721000,6.7287
726000,6.7186
731000,6.7371
736000,6.7164
741000,6.7257
746000,6.7215
751000,6.7158
756000,6.7218
761000,6.7288
766000,6.7316
771000,6.7301
776000,6.7134
781000,6.7316
786000,6.7288
791000,6.7156
796000,6.7091
801000,6.7337
806000,6.7155
811000,6.7173
816000,6.7290
821000,6.7289
826000,6.7200
831000,6.7297
836000,6.7455
841000,6.7204
846000,6.7134
851000,6.7295
856000,6.7267
861000,6.7245
866000,6.7276
871000,6.7288
876000,6.7321
881000,6.7240
886000,6.7090
891000,6.7239
896000,6.7316
901000,6.7248
906000,6.7211
911000,6.7204
916000,6.7432
921000,6.7188
926000,6.7107
931000,6.7261
936000,6.7369
941000,6.7171
946000,6.7262
951000,6.7347
956000,6.7210
961000,6.7337
966000,6.7478
971000,6.7383
976000,6.7237
981000,6.7359
986000,6.7147
991000,6.7238
996000,6.7343
