n,depth
1000,11.4240
6000,15.1577
11000,16.4242
16000,17.2082
21000,17.7800
26000,18.2312
31000,18.5961
36000,18.9101
41000,19.1804
46000,19.4206
51000,19.6397
56000,19.8378
61000,20.0148
66000,20.1782
71000,20.3330
76000,20.4765
81000,20.6097
86000,20.7350
91000,20.8522
96000,20.9651
101000,21.0728
106000,21.1769
111000,21.2724
116000,21.3617
121000,21.4501
126000,21.5265
131000,21.6196
136000,21.6968
141000,21.7669
146000,21.8382
151000,21.9150
156000,21.9824
161000,22.0475
166000,22.1103
171000,22.1755
176000,22.2361
181000,22.2935
186000,22.3513
191000,22.4032
196000,22.4581
201000,22.5127
206000,22.5613
211000,22.6149
216000,22.6648
221000,22.7116
226000,22.7594
231000,22.7919
236000,22.8529
241000,22.8950
246000,22.9282
251000,22.9788
256000,23.0132
261000,23.0552
266000,23.0949
271000,23.1405
276000,23.1764
281000,23.2175
286000,23.2548
291000,23.2850
296000,23.3205
301000,23.3530
306000,23.3896
311000,23.4279
316000,23.4542
321000,23.4963
326000,23.5231
331000,23.5533
336000,23.5880
341000,23.6178
346000,23.6475
351000,23.6784
356000,23.7112
361000,23.7337
366000,23.7694
371000,23.7926
376000,23.8224
381000,23.8463
386000,23.8818
391000,23.8999
396000,23.9274
401000,23.9588
406000,23.9819
411000,24.0090
416000,24.0300
421000,24.0633
426000,24.0820
431000,24.1026
436000,24.1385
441000,24.1528
446000,24.1827
451000,24.2031
456000,24.2278
461000,24.2506
466000,24.2753
471000,24.2968
476000,24.3178
481000,24.3346
486000,24.3626
491000,24.3805
496000,24.4086
501000,24.4252
506000,24.4426
511000,24.4491
516000,24.4753
521000,24.4992
526000,24.5210
531000,24.5444
536000,24.5567
541000,24.5727
546000,24.5971
551000,24.6159
556000,24.6283
561000,24.6528
566000,24.6772
571000,24.6896
576000,24.7119
581000,24.7324
586000,24.7545
591000,24.7637
596000,24.7824
601000,24.7980
606000,24.8136
611000,24.8256
616000,24.8612
621000,24.8657
626000,24.8807
631000,24.9010
636000,24.9233
641000,24.9312
646000,24.9554
651000,24.9655
656000,24.9814
661000,25.0006
666000,25.0152
671000,25.0266
676000,25.0374
681000,25.0596
686000,25.0757
691000,25.0860
696000,25.1032
701000,25.1209
706000,25.1409
711000,25.1504
716000,25.1638
721000,25.1802
726000,25.1978
731000,25.2087
736000,25.2302
741000,25.2306
746000,25.2493
751000,25.2678
756000,25.2734
761000,25.2893
766000,25.3110
771000,25.3211
776000,25.3354
781000,25.3529
786000,25.3573
791000,25.3716
796000,25.3883
801000,25.4080
806000,25.4102
811000,25.4236
816000,25.4461
821000,25.4503
826000,25.4610
831000,25.4773
836000,25.4899
841000,25.5020
846000,25.5157
851000,25.5306
856000,25.5465
861000,25.5568
866000,25.5661
871000,25.5837
876000,25.5852
881000,25.5988
886000,25.6063
891000,25.6193
896000,25.6424
901000,25.6460
906000,25.6584
911000,25.6755
916000,25.6851
921000,25.6828
926000,25.7130
931000,25.7193
936000,25.7206
941000,25.7436
946000,25.7516
951000,25.7618
956000,25.7755
961000,25.7903
966000,25.7895
971000,25.8015
976000,25.8100
981000,25.8215
986000,25.8331
991000,25.8542
996000,25.8536
