n,depth
100,5.0400
200,5.1700
300,5.2700
400,5.2600
500,5.3200
600,5.3300
700,5.3629
800,5.3575
900,5.3411
1000,5.3670
1100,5.3755
1200,5.3950
1300,5.3831
1400,5.3814
1500,5.3967
1600,5.3863
1700,5.3953
1800,5.3906
1900,5.3884
2000,5.3940
